dataset,label,rows,topic_count,source_duration_s,fixed_grid_duration_s,position_start_rad,position_end_rad,position_min_rad,position_max_rad,position_range_rad,position_robust_scale_rad,source_dt_min_ms,source_dt_p01_ms,source_dt_p50_ms,source_dt_p99_ms,source_dt_max_ms,source_dt_within_5_to_15ms_rate,clock_offset_residual_max_us,exact_position_repeat_rate
current_csv,Current CSV,1936,1,19.381714427,19.35,0.00687296895407743,0.03552148680519796,-0.6830613042854476,0.12077051478690409,0.8038318190723517,0.5436408231374553,2.4650239999992607,4.127781000000965,9.992097999999672,16.558222659999448,21.75221399999927,0.9436692506459948,0.2384185791015625,0.0
no_velocity_limit,Simplified · no velocity limit,1275,1,12.735221457999998,12.74,0.001635742175396747,0.12797226679971532,-0.5148083764826042,0.5055239482829027,1.020332324765507,0.7031673755067537,2.7070340000001636,4.630188460000362,9.995125999997967,15.61168654000031,22.076277999996563,0.9678178963893249,0.2384185791015625,0.0015698587127158557
velocity_limit,Simplified · velocity limit,7673,1,76.719007288,76.72,0.00536101239590009,0.0427516927927945,-0.6388237220781732,0.3193711295676301,0.9581948516458032,0.8191234859293234,8.979610000000804,9.439602019993956,9.995434000000358,10.561846330000435,11.085502999996777,1.0,0.2384185791015625,0.0
