method_id,method,result_group,causal,current_rmse,new_rmse,rmse_change_pct,current_normalized_rmse_robust,new_normalized_rmse_robust,normalized_rmse_change_pct,current_abs_best_lag_ms,new_abs_best_lag_ms,current_target_projection_rate,new_target_projection_rate,current_reachable_within_10ms_rate,new_reachable_within_10ms_rate
p,P,core,True,0.03518699100246076,0.09598805411784195,172.79415313213096,0.06472470334253028,0.13650811664671722,110.90574324350503,70.0,120.0,0.0,0.0,0.08742886704604243,0.08176100628930817
pv_backward,PV · historical backward FD,core,True,0.06397832213362444,0.23540691288854182,267.947931483532,0.11768491145384058,0.33478076641267723,184.47212329678126,110.0,240.0,0.0,0.0,0.19555095706156234,0.24764150943396226
pva_backward,PVA · historical backward FD,core,True,0.03874099146367436,0.1037261884624942,167.74273074491,0.07126210875793447,0.14751280004670517,107.00032965314233,70.0,130.0,0.3264355923435075,0.24921383647798742,0.2048629073978272,0.279874213836478
pv_central_offline,PV · centered FD (offline),core,False,0.0672252671036135,0.22582582970429224,235.92403486657716,0.12365750370923877,0.3211551581748879,159.7134411915947,130.0,300.0,0.0,0.0,0.23072943610967409,0.29009433962264153
pva_central_offline,PVA · centered FD (offline),core,False,0.04470066849690073,0.10645489663920046,138.1505695973683,0.08222463544758211,0.151393395580222,84.12169875381777,80.0,130.0,0.3264355923435075,0.24921383647798742,0.2710812209001552,0.3561320754716981
pv_central_causal,PV · centered FD (causal delay-1),realtime_supplement,True,0.07856071108936082,0.2647692490136956,237.0250158664263,0.14450848381100578,0.3765380167458474,160.5646442449009,160.0,300.0,0.0,0.0,0.17640972581479566,0.24449685534591195
pva_central_causal,PVA · centered FD (causal delay-1),realtime_supplement,True,0.04410854224537917,0.10609060777791751,140.52168214430532,0.08113544893634059,0.1508753270890318,85.95488047081565,80.0,130.0,0.3264355923435075,0.24921383647798742,0.19451629591308847,0.2531446540880503
