dataset,label,window_index,start_index,stop_index_exclusive,start_time_s,stop_time_s,sample_count,position_range_rad,tracking_rmse_rad,tracking_max_error_rad,max_abs_velocity,rms_velocity,max_abs_acceleration,rms_acceleration,max_abs_jerk,rms_jerk
current_csv,Current CSV,0,3,103,0.03,1.03,100,0.0047234123421122775,0.00011986158334646794,0.0005521478016221452,0.04412339756470847,0.009934511623604925,5.091606601125829,0.7173696875580919,242.5548767177653,43.908790597965556
current_csv,Current CSV,1,103,203,1.03,2.0300000000000002,100,0.05345032711956023,0.002637490028273949,0.007741837153289681,0.34549612384562994,0.12200362982039407,43.31254653111984,9.693771184501228,2139.0043286927225,620.4056271490109
current_csv,Current CSV,2,203,303,2.0300000000000002,3.0300000000000002,100,0.05187256802281813,0.002532741981469523,0.006700626785430583,0.2766479469634264,0.12117659978998972,31.11816250959215,7.784887727197053,1998.7692207796765,468.784406020133
current_csv,Current CSV,3,303,403,3.0300000000000002,4.03,100,0.04323565770121215,0.001219332807630752,0.0030735603325422363,0.16477288313463642,0.07757866645649016,19.68194034446646,6.061393911917917,1380.295516968121,423.1730240241548
current_csv,Current CSV,4,403,503,4.03,5.03,100,0.4559345350665683,0.027408181894650486,0.05402527114153627,1.6122706841971561,0.5781498356948809,188.48686698254818,52.20501269383318,12831.737213447823,4120.896548302024
current_csv,Current CSV,5,503,603,5.03,6.03,100,0.46757000019359984,0.034350298173952055,0.06788183097350689,1.360761628832495,0.6433885051887253,175.63071537406603,54.16183970135265,9295.062671501275,3507.0389028077043
current_csv,Current CSV,6,603,703,6.03,7.03,100,0.38734060110880725,0.09111173581264172,0.18452842848970727,2.046920701428324,0.7901919733501547,267.20241424803856,48.29886426003457,13354.279442526333,3057.463148823804
current_csv,Current CSV,7,703,803,7.03,8.03,100,0.15259753432770418,0.013788665046148731,0.05403500126532085,1.3121877107291817,0.38372699393497434,98.13825593044889,20.85492885741197,7130.353112546034,1523.714268822369
current_csv,Current CSV,8,803,903,8.03,9.03,100,0.4603738962551654,0.04022154934251603,0.08241369037814159,1.6273514240389055,0.7134280058608599,223.13722717465075,48.99488404623469,11638.886045185938,3307.0908239604278
current_csv,Current CSV,9,903,1003,9.03,10.03,100,0.14624776551868726,0.021076438561936323,0.05583543716368712,1.2743555291284914,0.3398630955939432,165.7777690815252,26.629132756197833,9035.917234736211,1791.3647415205403
current_csv,Current CSV,10,1003,1103,10.03,11.03,100,0.5261436197742593,0.03624714750557265,0.06141815296165892,1.4251762031356072,0.6541734258389474,169.87705634526208,44.14871515190827,10432.728931955611,2973.7275604954452
current_csv,Current CSV,11,1103,1203,11.03,12.030000000000001,100,0.4835357826334714,0.04293723863823621,0.09774480798741211,2.050371202028904,0.6999754714610971,280.09102085992384,59.37785188154656,14357.727420432257,3985.0478303262416
current_csv,Current CSV,12,1203,1303,12.030000000000001,13.030000000000001,100,0.046131508971987825,0.0015387398378903171,0.004125123931407251,0.22219465285784465,0.08001276308042556,33.015513486557744,7.595502405863727,2072.7484615111043,434.4187958522687
