comparison_id,metric,baseline_method,candidate_method,trajectory_count,mean_improvement,median_improvement,q25_improvement,q75_improvement,improved_count,harmful_count,unchanged_count,improved_rate,harmful_rate
primary_position:one_step_pva-vs-predicted_p,position_rmse,predicted_p,one_step_governed_pva_direct,120,0.1374702199242128,0.0673839231362102,0.011382136518870056,0.19998156611923965,113,7,0,0.9416666666666667,0.058333333333333334
max_error:one_step_pva-vs-predicted_p,position_max_abs_error,predicted_p,one_step_governed_pva_direct,120,0.27142484114452253,0.12965162775566008,0.02131793122121471,0.39102378588682585,113,7,0,0.9416666666666667,0.058333333333333334
lag:one_step_pva-vs-predicted_p,lag_s,predicted_p,one_step_governed_pva_direct,120,-0.03308333333333332,0.020000000000000018,-0.009999999999999967,0.08249999999999999,85,31,4,0.7083333333333334,0.25833333333333336
position:one_step_pva-vs-deployed_p_only,position_rmse,deployed_p_only,one_step_governed_pva_direct,120,0.13731384180201775,0.06738390705306763,0.011382125401713997,0.19960163900491926,113,7,0,0.9416666666666667,0.058333333333333334
position:one_step_pva-vs-raw_predicted_pv,position_rmse,raw_predicted_pv,one_step_governed_pva_direct,120,0.13572127120036823,0.06527736708082937,0.01135472599065216,0.19562156857284077,113,7,0,0.9416666666666667,0.058333333333333334
position:one_step_direct-vs-one_step_ruckig,position_rmse,one_step_governed_pva_ruckig,one_step_governed_pva_direct,120,-3.886384360307869e-12,1.4311468676808659e-16,-7.33687091115931e-13,6.7958806984624864e-12,63,56,1,0.525,0.4666666666666667
position:jerk_qp_direct-vs-one_step_direct,position_rmse,one_step_governed_pva_direct,jerk_qp_pva_direct,120,0.006971821477576555,0.0003638812135944938,-0.0006335502287361252,0.001856570688000774,74,46,0,0.6166666666666667,0.38333333333333336
position:jerk_qp_direct-vs-jerk_qp_ruckig,position_rmse,jerk_qp_pva_ruckig,jerk_qp_pva_direct,120,-1.3897381979657956e-10,-2.821440997502478e-14,-6.71505492270269e-11,2.605867821872665e-11,50,70,0,0.4166666666666667,0.5833333333333334
