comparison_id,secondary,metric,baseline_method,candidate_method,direction,relative_definition,relative_point_defined,relative_interval_defined,relative_status,improvement_direction,n_trajectories,n_expected_trajectories,n_excluded_trajectories,resamples,seed,confidence_level,baseline_mean,baseline_median,baseline_q25,baseline_q75,candidate_mean,candidate_median,candidate_q25,candidate_q75,absolute_difference,absolute_ci_low,absolute_ci_high,relative_difference,relative_ci_low,relative_ci_high,improvement,improvement_ci_low,improvement_ci_high,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high,effect_size_name,effect_size,effect_size_ci_low,effect_size_ci_high,effect_size_defined,unadjusted_p_value,holm_adjusted_p_value,reject_holm
primary_position:one_step_pva-vs-predicted_p,False,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260721,0.95,0.17766167971631203,0.08001418852161732,0.02591112409797733,0.23269490710039167,0.04019145979209921,0.012630265385407118,0.005454743322113741,0.021517370168224925,-0.1374702199242128,-0.1744525133331581,-0.10554178559914362,-0.7737753022695921,-0.8443749153621228,-0.6996349531461117,0.1374702199242128,0.10554178559914362,0.1744525133331581,0.7737753022695921,0.6996349531461117,0.8443749153621228,paired_cohen_dz_candidate_minus_baseline,-0.7060876702395453,-0.8961368674990283,-0.59696695519712,True,9.999000099990002e-05,9.999000099990002e-05,True
max_error:one_step_pva-vs-predicted_p,True,position_max_abs_error,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260722,0.95,0.3410133573888214,0.15898882366838157,0.04557709927786629,0.44471826386027213,0.06958851624429883,0.02259277035269381,0.010878694929298747,0.03744281732352528,-0.27142484114452253,-0.3417701825167163,-0.20897335329310932,-0.795936098289093,-0.8676529567814985,-0.7143045105957672,0.27142484114452253,0.20897335329310932,0.3417701825167163,0.795936098289093,0.7143045105957672,0.8676529567814985,paired_cohen_dz_candidate_minus_baseline,-0.7261702817712292,-0.9223989822712831,-0.6113980938478373,True,9.999000099990002e-05,0.0006999300069993001,True
lag:one_step_pva-vs-predicted_p,True,lag_s,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260723,0.95,0.08258333333333333,0.05000000000000002,0.020000000000000018,0.1825,0.11566666666666664,0.010000000000000009,0.010000000000000009,0.04250000000000003,0.03308333333333332,-0.03275624999999996,0.10099999999999998,0.4006054490413722,-0.2722061138959274,3.605403447223895,-0.03308333333333332,-0.10099999999999998,0.03275624999999996,-0.4006054490413722,-3.605403447223895,0.2722061138959274,paired_cohen_dz_candidate_minus_baseline,0.08885585638099888,-0.09791300571415705,0.25284279266593035,True,0.33096690330966905,0.6619338066193381,False
position:one_step_pva-vs-deployed_p_only,True,position_rmse,deployed_p_only,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260724,0.95,0.17750530159411693,0.08001417243847474,0.02591109045417162,0.23269721587440262,0.04019145979209921,0.012630265385407118,0.005454743322113741,0.021517370168224925,-0.13731384180201775,-0.17420411628944923,-0.1052617407885605,-0.7735760034705845,-0.8447464811682436,-0.7014875827729277,0.13731384180201775,0.1052617407885605,0.17420411628944923,0.7735760034705845,0.7014875827729277,0.8447464811682436,paired_cohen_dz_candidate_minus_baseline,-0.7080341877777163,-0.896917296665569,-0.5986434802274554,True,9.999000099990002e-05,0.0006999300069993001,True
position:one_step_pva-vs-raw_predicted_pv,True,position_rmse,raw_predicted_pv,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260725,0.95,0.1759127309924674,0.07765822734785709,0.025322866867571465,0.23094515964818524,0.04019145979209921,0.012630265385407118,0.005454743322113741,0.021517370168224925,-0.13572127120036823,-0.17166314013068457,-0.10390581180333588,-0.7715261450075482,-0.8412807802498754,-0.6974927524896275,0.13572127120036823,0.10390581180333588,0.17166314013068457,0.7715261450075482,0.6974927524896275,0.8412807802498754,paired_cohen_dz_candidate_minus_baseline,-0.7003594343051018,-0.8847291592308206,-0.5919687823383306,True,9.999000099990002e-05,0.0006999300069993001,True
position:one_step_direct-vs-one_step_ruckig,True,position_rmse,one_step_governed_pva_ruckig,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260726,0.95,0.04019145978821281,0.01263026513472474,0.005454743457006182,0.021517366986173223,0.04019145979209921,0.012630265385407118,0.005454743322113741,0.021517370168224925,3.886384360307869e-12,-9.103215509568483e-11,1.1598937994751128e-10,9.669677042802142e-11,-2.591487442668141e-09,3.2459819282294374e-09,-3.886384360307869e-12,-1.1598937994751128e-10,9.103215509568483e-11,-9.669677042802142e-11,-3.2459819282294374e-09,2.591487442668141e-09,paired_cohen_dz_candidate_minus_baseline,0.006699140163209397,-0.2300692064870797,0.1560939494960504,True,0.9405059494050595,0.9405059494050595,False
position:jerk_qp_direct-vs-one_step_direct,True,position_rmse,one_step_governed_pva_direct,jerk_qp_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260727,0.95,0.04019145979209921,0.012630265385407118,0.005454743322113741,0.021517370168224925,0.03321963831452265,0.012632955374887959,0.005399215005101245,0.022393153328028798,-0.006971821477576555,-0.016555591810777433,-0.0007320306059575963,-0.173465246438923,-0.2787083902613261,-0.02851755464921703,0.006971821477576555,0.0007320306059575963,0.016555591810777433,0.173465246438923,0.02851755464921703,0.2787083902613261,paired_cohen_dz_candidate_minus_baseline,-0.14700029945012028,-0.29054987811460276,-0.10574165684063483,True,0.07169283071692831,0.28677132286771323,False
position:jerk_qp_direct-vs-jerk_qp_ruckig,True,position_rmse,jerk_qp_pva_ruckig,jerk_qp_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),True,True,defined,baseline_minus_candidate_lower_is_better,120,120,0,10000,20260728,0.95,0.03321963817554882,0.012632955391519388,0.0053992150050266065,0.02239315332648525,0.03321963831452265,0.012632955374887959,0.005399215005101245,0.022393153328028798,1.3897381979657956e-10,-3.7846031247504634e-11,3.301574083557824e-10,4.183483849588424e-09,-1.235559799636387e-09,1.0522269699815496e-08,-1.3897381979657956e-10,-3.301574083557824e-10,3.7846031247504634e-11,-4.183483849588424e-09,-1.0522269699815496e-08,1.235559799636387e-09,paired_cohen_dz_candidate_minus_baseline,0.13357170480066322,-0.041925780217194154,0.2900148360458271,True,0.14058594140585942,0.42175782421757824,False
