limits,max_velocity,max_acceleration,max_jerk,method_short,dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
strict_4.1_8.2_41,4.1,8.2,41.0,"CA-KF, H=50 ms",csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.09655440850536143,0.05674316592061491,0.36469511623223194,130.0,0.0804699170641319,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,264.5117068888811,737.6480723989956,1406.4444107893573,1531.7661024957533,0.04237726098191214,2.058798618813995,8.2,41.000000000000014,11.75,14.694059999999993,1.3336599999999998
strict_4.1_8.2_41,4.1,8.2,41.0,"3-point central, H=50 ms",csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.18661739053420792,0.11478865668924305,0.6902964834379169,390.0,0.11903599811985535,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,547.413194517897,921.7172842056003,1241.8051430698922,1824.0349827618854,0.011886304909560724,2.1612482874269494,8.2,41.000000000000014,1.125,1.417,0.9586599999999998
current_4.1_16_3200,4.1,16.0,3200.0,"CA-KF, H=50 ms",csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.019498598074023266,0.008124533649553907,0.14497727641134048,10.0,0.01902784693781075,0.003278688524590164,2.307789583993759,15.99999984,276.2647534634291,50.0,89.04498747757944,278.3425941054912,423.23139966934775,0.8330749354005168,2.5094337837907186,16.0,3200.0,11.625,14.652719999999993,1.818719999999994
current_4.1_16_3200,4.1,16.0,3200.0,"3-point central, H=50 ms",csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.02653849698136944,0.012126859077631417,0.14327463807767016,20.0,0.025659387422433413,0.1765807962529274,2.796506297960272,15.99999984,3199.999967999998,50.38255804159733,172.5799521260281,350.0665528001409,489.04305140418626,0.4945736434108527,2.4802070150688875,16.000000000000004,3200.0,1.125,1.4166599999999998,1.625
