target,preview_steps,preview_ms,rmse,max_error,best_lag_ms,lag_aligned_rmse,trajectory_duration_p90_ms,reference_max_velocity,reference_max_acceleration,reference_max_sampled_jerk
exact_current_state,0,0.0,0.005968612238891117,0.009374375018750214,10.0,4.9426719496902117e-17,10.0,0.9375,1.443330000000003,7.387875000000221
exact_next_cycle_state,1,10.0,4.936505170059149e-17,2.220446049250313e-16,0.0,4.936505170059149e-17,10.0,0.9375,1.443330000000003,7.387875000000221
