sample_index,time_s,position_rad,velocity_rad_s,acceleration_rad_s2,jerk_rad_s3
1,0.01,0.0051328282663851473,-0.018655610803875983,8.1999999999999993,
2,0.02,0.004826524825013054,-0.067035610803875989,-8.1999999999999993,
3,0.029999999999999999,0.0037461709328583978,-0.14899106683983651,-7.603047981563277,
4,0.040000000000000001,0.0019962222729515053,-0.16477161826027947,5.120358116439621,
5,0.050000000000000003,0.00074695509686704444,-0.083957142526651901,8.1999999999999993,
6,0.059999999999999998,2.0990361801645688e-05,-0.069048966679912144,-1.214306433183765e-16,
7,0.070000000000000007,-0.00063199239146219789,-0.066915430979794188,-2.7755575615628914e-17,
8,0.080000000000000002,-0.0013020631781143011,-0.049387864413968495,3.3306690738754696e-16,
9,0.089999999999999997,-0.0019692029935985942,-0.068715882004036236,1.1796119636642288e-16,
10,0.10000000000000001,-0.0025549665227219682,-0.066420884431648314,-2.6367796834847468e-16,
11,0.11,-0.0030665206754007992,-0.050438724276245454,3.2612801348363973e-16,
12,0.12,-0.0035087251006654272,-0.043734477623428927,-3.4694469519536142e-18,
13,0.13,-0.0038978878243752005,-0.037285441549323201,-9.7144514654701197e-17,
14,0.14000000000000001,-0.003968535252271194,0.011296183747635696,-5.9459180551963069,
15,0.14999999999999999,-0.0041979430734696167,-0.029607566479493575,8.1999999999999993,
16,0.16,-0.0044136192450680853,-0.020080375686842792,-6.591949208711867e-17,
17,0.17000000000000001,-0.0042946610040739451,0.039830440629478797,-2.2629570136471142,
18,0.17999999999999999,-0.0037074352854811659,0.058980321969650973,-2.4026773917664856,
19,0.19,-0.0029796210534431054,0.086277718086975694,-3.9551695252271202e-16,
20,0.20000000000000001,-0.0022124317104211125,0.085065110185210055,1.1796119636642288e-16,
21,0.20999999999999999,-0.0014789695938899144,0.084170316060812364,3.3306690738754696e-16,
22,0.22,-0.00073176539704056188,0.069973489004040226,-1.3183898417423734e-16,
23,0.23000000000000001,-0.00036372392366682623,-0.0036215109959597679,-8.1999999999999993,
24,0.23999999999999999,-0.00028019170029309055,0.044758489004040232,8.1999999999999993,
25,0.25,0.00031148033111286108,0.03540656713111711,-8.1999999999999993,
26,0.26000000000000001,0.00041209940925899928,0.015079729262285447,3.3306690738754696e-16,
27,0.27000000000000002,0.00046670878397892765,-0.017073702858774478,-3.3306690738754696e-16,
28,0.28000000000000003,0.0005091562851640293,0.0083938904136055797,1.3877787807814457e-16,
29,0.28999999999999998,0.00054162511303217445,0.0030285627650274761,-3.4694469519536142e-18,
30,0.29999999999999999,0.00058126060729779484,0.0022490085753471391,1.3877787807814457e-17,
31,0.31,0.00064104677307058979,0.004680226385967161,1.0408340855860843e-17,
32,0.32000000000000001,0.00062475411079490053,0.007993680288111104,-3.4694469519536142e-16,
33,0.33000000000000002,0.00071459341229328189,-0.0092371490324173761,-3.3306690738754696e-16,
34,0.34000000000000002,0.00077962082506585035,0.019597126527245212,4.3715031594615539e-16,
35,0.35000000000000003,0.00080837593617877151,0.0040215524046755538,-1.457167719820518e-16,
36,0.35999999999999999,0.00086423427117629059,-0.00075171905467260203,4.163336342344337e-17,
37,0.37,0.00088095422292575661,0.0082961558882116791,1.1796119636642288e-16,
38,0.38,0.00093063177607180894,-0.0022418431498586497,1.3183898417423734e-16,
39,0.39000000000000001,0.00087075640491109389,0.0082635154542638201,3.3306690738754696e-16,
40,0.40000000000000002,0.00077119917142310431,-0.016942829546748243,9.0205620750793969e-17,
41,0.41000000000000003,0.00066260984407288796,-0.013923909581526433,4.2327252813834093e-16,
42,0.41999999999999998,0.00047892454815166689,-0.011762142121244325,-3.0531133177191805e-16,
43,0.42999999999999999,0.0001595066034468689,-0.026636026329972577,2.462356401092249,
44,0.44,-0.00017866336460612003,-0.04873222152474261,-3.3306690738754696e-16,
45,0.45000000000000001,-0.00047076527601930642,-0.03086645587626035,-4.163336342344337e-17,
46,0.46000000000000002,-0.0007787366751015526,-0.026211966565290921,-1.6653345369377348e-16,
47,0.47000000000000003,-0.0011744818436320347,-0.032384088675130596,3.8163916471489756e-16,
48,0.47999999999999998,-0.0015980289195621795,-0.048351893797871803,-1.3877787807814457e-16,
49,0.48999999999999999,-0.0020278498497006371,-0.045134898332980788,-1.0755285551056204e-16,
50,0.5,-0.0025636002114086775,-0.043609478434676954,-1.9428902930940239e-16,
51,0.51000000000000001,-0.0030619243064081976,-0.064167979327762345,-3.3306690738754696e-16,
52,0.52000000000000002,-0.0036315443041168871,-0.046089782829100007,8.3266726846886741e-17,
53,0.53000000000000003,-0.0042463242077231452,-0.064091590041786037,-2.1857515797307769e-16,
54,0.54000000000000004,-0.0048130973816260612,-0.065993980950382461,-2.9837243786801082e-16,
55,0.55000000000000004,-0.0053233119779099317,-0.051876644419957603,3.1225022567582528e-16,
56,0.56000000000000005,-0.0057185298326913499,-0.045365601866482592,2.9837243786801082e-16,
57,0.57000000000000006,-0.0058813797532347861,-0.0028746265730955722,-7.5744159211333022,
58,0.57999999999999996,-0.0060775029081148284,-0.0079847792390676502,3.3306690738754696e-16,
59,0.58999999999999997,-0.0061574937923545691,-0.00053476800888204801,-1.7347234759768071e-16,
60,0.59999999999999998,-0.0061271085290379619,-0.0038541516642048163,-2.7755575615628914e-16,
61,0.60999999999999999,-0.0061714887672642176,0.01407614108729551,3.3306690738754696e-16,
62,0.62,-0.0061640767935028738,-0.011914573976912203,2.4980018054066022e-16,
63,0.63,-0.006106751480078625,0.0059204185748946798,-8.3266726846886741e-17,
64,0.64000000000000001,-0.0060771412579314985,0.010723865308715204,3.677613769070831e-16,
65,0.65000000000000002,-0.006045124374773639,0.00018951308700084206,6.9388939039072284e-17,
66,0.66000000000000003,-0.0060536541742723902,0.003442354416859084,6.9388939039072284e-17,
67,0.67000000000000004,-0.0060344817734555205,-0.0049076482155360219,-3.5388358909926865e-16,
68,0.68000000000000005,-0.0060066289098210813,0.0046874601132492451,4.3368086899420177e-17,
69,0.69000000000000006,-0.0059864879961825865,0.0036533326452007847,2.1510571102112408e-16,
70,0.70000000000000007,-0.0059910313351097958,0.0012428963642549531,-2.7755575615628914e-17,
71,0.70999999999999996,-0.0060490268065712003,-0.0029227591492912517,-7.6327832942979512e-17,
72,0.71999999999999997,-0.0061373423429305664,-0.011144760399560071,-2.1857515797307769e-16,
73,0.72999999999999998,-0.0062690697129813627,-0.011863560125732664,1.9428902930940239e-16,
74,0.73999999999999999,-0.0064216048386214787,-0.017513920374222228,-1.1102230246251565e-16,
75,0.75,-0.0065528636915221207,-0.017334288122944096,1.0408340855860843e-16,
76,0.76000000000000001,-0.0066767604622876443,-0.010998258016116889,5.2041704279304213e-18,
77,0.77000000000000002,-0.0068367199216785223,-0.011653468863040417,-8.3266726846886741e-17,
78,0.78000000000000003,-0.006896766494461022,-0.019602214801623007,-3.3306690738754696e-16,
79,0.79000000000000004,-0.0069021993951515273,0.0039866313825872813,1.3877787807814457e-16,
80,0.80000000000000004,-0.0068817827963923214,0.0049180771401492393,2.7755575615628914e-17,
81,0.81000000000000005,-0.0068284791282972879,0.0046266098208914627,-3.4694469519536142e-18,
82,0.82000000000000006,-0.0067657613902187743,0.0086190737430861045,6.591949208711867e-17,
83,0.83000000000000007,-0.0067249425402793137,0.0072131808061996249,-3.4694469519536142e-16,
84,0.83999999999999997,-0.0067435464424158657,0.0018919961800406733,4.163336342344337e-17,
85,0.84999999999999998,-0.0068265055720154455,-0.0078026654212566202,1.214306433183765e-16,
86,0.85999999999999999,-0.0069414692212447704,-0.014731435706260513,-1.5265566588595902e-16,
87,0.87,-0.0069798808130935655,-0.014696816885907163,-3.3306690738754696e-16,
88,0.88,-0.0070652231776117723,0.0038140465531735415,9.7144514654701197e-17,
89,0.89000000000000001,-0.0071133471731754079,-0.013227313718761763,1.457167719820518e-16,
90,0.90000000000000002,-0.0071299568631131771,-0.00109056266090644,-1.4224732503009818e-16,
91,0.91000000000000003,-0.0071558148808120222,0.0014904615688095593,-1.7347234759768071e-16,
92,0.92000000000000004,-0.0071522854642376704,-0.0035106345459918501,3.6082248300317588e-16,
93,0.93000000000000005,-0.0070456743634294671,0.0032916850847546086,-2.9143354396410359e-16,
94,0.94000000000000006,-0.0069163109776531643,0.020969278504205484,-2.5673907444456745e-16,
95,0.95000000000000007,-0.0068492555045842167,0.015211567074440059,3.3306690738754696e-16,
96,0.95999999999999996,-0.0068504945848405548,0.00047475603615933411,3.4694469519536142e-17,
97,0.96999999999999997,-0.0068833666940689084,-0.0069533633581627353,-6.9388939039072284e-18,
98,0.97999999999999998,-0.0069252880521413363,-0.0064505138200369851,-4.163336342344337e-17,
99,0.98999999999999999,-0.0069329202780018702,-0.0050970606916502298,3.3306690738754696e-16,
100,1,-0.0069675393250590361,0.0026656906351363654,-2.4980018054066022e-16,
101,1.01,-0.0069835100548097696,-0.0061605868253799762,-3.8163916471489756e-16,
102,1.02,-0.0069665209612307559,0.00026775875556971996,-1.1796119636642288e-16,
103,1.03,-0.0069697978929689616,0.0049947761015385972,3.8163916471489756e-16,
104,1.04,-0.0069829426314428475,-0.0023541223215365649,1.9081958235744878e-17,
105,1.05,-0.0069922896311365133,-0.0023013121875378392,-1.3877787807814457e-17,
106,1.0600000000000001,-0.007063194360930441,-0.0005549262834757088,6.9388939039072284e-17,
107,1.0700000000000001,-0.0071688156186647646,-0.013246245925375379,3.2959746043559335e-17,
108,1.0800000000000001,-0.0073372056408502837,-0.01403377856747153,1.6653345369377348e-16,
109,1.0900000000000001,-0.0075201105519465223,-0.023115878663671451,3.5388358909926865e-16,
110,1.1000000000000001,-0.0076501202845392722,-0.019741980000695641,3.5388358909926865e-16,
111,1.1100000000000001,-0.0078250338121716341,-0.0077114554089261949,3.3306690738754696e-16,
112,1.1200000000000001,-0.0079804027967326149,-0.021981732267197227,-1.3183898417423734e-16,
113,1.1300000000000001,-0.0080811831871660644,-0.013582444148959975,2.0122792321330962e-16,
114,1.1400000000000001,-0.0080990215677731649,-0.0046191796305918029,-2.5673907444456745e-16,
115,1.1500000000000001,-0.0080995331341317291,0.0065103629219243047,2.2204460492503131e-16,
116,1.1599999999999999,-0.0080587599655567669,0.0016815247889977521,-1.457167719820518e-16,
