dataset,dataset_label,time_basis,method_id,method,causal,position_semantics,derivative_semantics,hard_clamp,primary_method,samples,evaluation_start_index,evaluation_stop_index_exclusive,rmse_rad,normalized_rmse_robust,mae_rad,max_error_rad,best_lag_ms,lag_aligned_rmse_rad,lag_aligned_normalized_rmse,estimate_valid_rate,target_age_median_ms,state_age_position_residual_rmse_rad,preclamp_max_abs_velocity_rad_s,preclamp_max_abs_acceleration_rad_s2,preclamp_p99_abs_acceleration_rad_s2,preclamp_p99_abs_sampled_jerk_rad_s3,velocity_hard_clamp_rate,acceleration_hard_clamp_rate,any_hard_clamp_rate,post_hard_clamp_infeasible_rate,ruckig_feasibility_projection_rate,hard_clamped_p99_abs_sampled_jerk_rad_s3,projected_p99_abs_sampled_jerk_rad_s3,projection_velocity_rmse_rad_s,projection_acceleration_rmse_rad_s2,reachable_within_10ms_rate,output_max_abs_velocity_rad_s,output_max_abs_acceleration_rad_s2,output_p99_abs_sampled_jerk_rad_s3
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,p_only_latest,P-only · latest P,True,latest,zero,False,True,1272,3,1275,0.09598805411784195,0.13650811664671722,0.04433101644537178,0.5128313358781429,120.0,0.04705217559512571,0.06691461696614762,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08176100628930817,2.4703575315692716,8.2,1325.2822930337275
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,p_only_delayed,P-only · delayed P,True,middle_delay1,zero,False,True,1272,3,1275,0.10165645316130872,0.14456935390105047,0.048628722423816786,0.5289210221245086,130.0,0.04707085821472043,0.06694118620164614,1.0,9.999999999999787,0.0075440808281356546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08176100628930817,2.4703575315692716,8.2,1325.2822930337275
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pva_delayed_unclamped,Centered PVA · delayed · no hard clamp,True,middle_delay1,centered_middle,False,True,1272,3,1275,0.11187983976523551,0.15910840528488218,0.052421286682762275,0.5891375742507835,140.0,0.058952550322947654,0.08383857439412935,1.0,9.999999999999787,2.186192421969296e-17,3.1495187375902054,161.74304477453484,64.8710749932946,10824.238502514505,0.0,0.0,0.0,0.24921383647798742,0.24921383647798742,10824.238502514505,1639.9999835999993,0.4247338942239558,12.274798358234735,0.3561320754716981,2.4928309974106364,8.2,1639.9999999999998
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pv_delayed_clamped,Centered PV · delayed · hard clamp,True,middle_delay1,centered_middle_velocity,True,True,1272,3,1275,0.22948380334382432,0.3263572960540747,0.10449626833434125,1.0337025780763651,310.0,0.1449224799658701,0.2060995504255703,1.0,9.999999999999787,0.0007691455759796417,3.1495187375902054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29009433962264153,2.9490743321585278,8.200000000000001,1639.9999999999998
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pva_delayed_clamped,Centered PVA · production-like,True,middle_delay1,centered_middle,True,True,1272,3,1275,0.21924287927533787,0.3117933040015337,0.09439783273697797,1.0331656034180114,220.0,0.16780258075419072,0.2386381771953796,1.0,9.999999999999787,0.000613739916663683,3.1495187375902054,161.74304477453484,64.8710749932946,10824.238502514505,0.0,0.24921383647798742,0.24921383647798742,0.24921383647798742,0.24921383647798742,1639.9999999999998,1639.9999836,6.398625085302351e-09,4.093548367089295e-08,0.3278301886792453,2.924333419246823,8.2,1639.9999999999998
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pva_latest_position_clamped,Centered PVA · latest P,True,latest,centered_middle,True,True,1272,3,1275,0.22026434561361677,0.3132459685787871,0.0959182199939331,1.0067293162985664,300.0,0.14271737252432257,0.2029635866161595,1.0,nan,0.0,3.1495187375902054,161.74304477453484,64.8710749932946,10824.238502514505,0.0,0.24921383647798742,0.24921383647798742,0.24921383647798742,0.24921383647798742,1639.9999999999998,1639.9999836,6.398625085302351e-09,4.093548367089295e-08,0.1988993710691824,2.896804586514377,8.2,1639.9999999999998
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pva_propagated_clamped,Centered PVA · P/V age compensated,True,latest,centered_propagated,True,True,1272,3,1275,0.26372698887957363,0.37505578055226574,0.11529157662117408,1.1548642465408734,280.0,0.2055530003344002,0.29232442729053476,1.0,nan,0.0,3.5883228482024756,161.74304477453484,64.8710749932946,10824.238502514505,0.0,0.24921383647798742,0.24921383647798742,0.24921383647798742,0.24921383647798742,1639.9999999999998,1639.9999836,6.578664212470623e-09,4.093548367089295e-08,0.23427672955974843,3.0691933428089513,8.200000000000001,1639.9999999999998
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,centered_pva_offline_aligned_clamped,Centered PVA · offline aligned,False,latest,centered_offline,True,False,1272,3,1275,0.21542904378948516,0.3063695092995907,0.09013537972370347,1.0297522692255434,210.0,0.1677355117723274,0.2385427959473304,1.0,nan,0.0,3.1495187375902054,161.74304477453484,64.8710749932946,10824.238502514505,0.0,0.24921383647798742,0.24921383647798742,0.24921383647798742,0.24921383647798742,1639.9999999999998,1639.9999836,6.398625085302351e-09,4.093548367089295e-08,0.3278301886792453,2.924333419246823,8.2,1639.9999999999998
velocity_limit,Simplified · velocity limit,fixed_10ms,p_only_latest,P-only · latest P,True,latest,zero,False,True,7670,3,7673,0.004125495168881926,0.005036475256476636,0.0016654224340290043,0.03184777318385834,30.0,0.0012830549709379007,0.001566375513555482,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25958279009126467,0.6469427429807726,8.2,1155.630530080904
velocity_limit,Simplified · velocity limit,fixed_10ms,p_only_delayed,P-only · delayed P,True,middle_delay1,zero,False,True,7670,3,7673,0.005335852136004728,0.00651409980016752,0.002372314939565829,0.03789810818054956,40.0,0.0012831386529840315,0.0015664776740325877,1.0,9.999999999999787,0.0012945633007983251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25945241199478486,0.6469427429807726,8.2,1155.630530080904
velocity_limit,Simplified · velocity limit,fixed_10ms,centered_pva_delayed_unclamped,Centered PVA · delayed · no hard clamp,True,middle_delay1,centered_middle,False,True,7670,3,7673,0.004091642117235592,0.004995146870430025,0.0016954800754868163,0.06021792262428005,30.0,0.002122433171037501,0.002591102815993035,1.0,9.999999999999787,2.3435088511857858e-17,0.9711642139337382,129.29402470381183,7.0674945218903575,1283.260960239245,0.0,0.0,0.0,0.008344198174706649,0.008344198174706649,1283.260960239245,859.4598032918869,0.02372414085582086,3.2171433134249763,0.9298565840938723,0.9875950930727777,8.2,1216.9263172611422
velocity_limit,Simplified · velocity limit,fixed_10ms,centered_pv_delayed_clamped,Centered PV · delayed · hard clamp,True,middle_delay1,centered_middle_velocity,True,True,7670,3,7673,0.005720101365055555,0.006983197849059237,0.001976776481965106,0.07699845313582482,40.0,0.0036142687352208915,0.00441236125847421,1.0,9.999999999999787,0.0002005489610765975,0.9711642139337382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8924380704041721,1.0290430716052612,8.2,1473.0245902410045
