dataset,dataset_label,time_basis,method_id,method,causal,position_semantics,derivative_semantics,hard_clamp,primary_method,samples,evaluation_start_index,evaluation_stop_index_exclusive,rmse_rad,normalized_rmse_robust,mae_rad,max_error_rad,best_lag_ms,lag_aligned_rmse_rad,lag_aligned_normalized_rmse,estimate_valid_rate,target_age_median_ms,state_age_position_residual_rmse_rad,preclamp_max_abs_velocity_rad_s,preclamp_max_abs_acceleration_rad_s2,preclamp_p99_abs_acceleration_rad_s2,preclamp_p99_abs_sampled_jerk_rad_s3,velocity_hard_clamp_rate,acceleration_hard_clamp_rate,any_hard_clamp_rate,post_hard_clamp_infeasible_rate,ruckig_feasibility_projection_rate,hard_clamped_p99_abs_sampled_jerk_rad_s3,projected_p99_abs_sampled_jerk_rad_s3,projection_velocity_rmse_rad_s,projection_acceleration_rmse_rad_s2,reachable_within_10ms_rate,output_max_abs_velocity_rad_s,output_max_abs_acceleration_rad_s2,output_p99_abs_sampled_jerk_rad_s3
no_velocity_limit,Simplified · no velocity limit,csv_timestamp_proxy,p_only_latest,P-only · latest P,True,latest,zero,False,True,1272,3,1275,0.09598805411784195,0.13650811664671722,0.04433101644537178,0.5128313358781429,120.0,0.04705217559512571,0.06691461696614762,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08176100628930817,2.4703575315692716,8.2,1325.2822930337275
no_velocity_limit,Simplified · no velocity limit,csv_timestamp_proxy,centered_pva_delayed_clamped,Centered PVA · production-like,True,middle_delay1,centered_middle,True,True,1272,3,1275,0.2708916896643734,0.38524496314856627,0.11769570574684025,1.1873037512112885,310.0,0.20804247849506413,0.295864805083048,1.0,9.995222091674805,0.0017945260242816846,4.490224892790479,472.7503707866804,166.2778204273381,31768.816704751815,0.0015723270440251573,0.39544025157232704,0.39544025157232704,0.39544025157232704,0.39544025157232704,1639.9999999999998,1639.9999836,0.00033192045098659717,0.0006638409037820608,0.20047169811320756,3.097238481341059,8.200000000000001,1639.9999999999998
velocity_limit,Simplified · velocity limit,csv_timestamp_proxy,p_only_latest,P-only · latest P,True,latest,zero,False,True,7670,3,7673,0.004125495168881926,0.005036475256476636,0.0016654224340290043,0.03184777318385834,30.0,0.0012830549709379007,0.001566375513555482,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25958279009126467,0.6469427429807726,8.2,1155.630530080904
velocity_limit,Simplified · velocity limit,csv_timestamp_proxy,centered_pva_delayed_clamped,Centered PVA · production-like,True,middle_delay1,centered_middle,True,True,7670,3,7673,0.004835423252765909,0.0059031676369039245,0.0019069756312849885,0.059588154961853615,30.0,0.0025578420168285076,0.0031226574024141784,1.0,9.995460510253906,0.0001585752397273772,0.9276596436017854,118.34358762832471,7.843756506327912,1369.071969888817,0.0,0.009517601043024772,0.009517601043024772,0.009517601043024772,0.009517601043024772,1067.744733395959,1067.744730771959,3.242537144372725e-10,7.999771803788893e-09,0.9026075619295958,0.9706555956292519,8.2,1275.0594081062459
