dataset,dataset_label,time_basis,rows,valid_estimate_count,history_reset_gap_count,dt_min_ms,dt_p50_ms,dt_p99_ms,dt_max_ms,velocity_noise_gain_p50_per_s,velocity_noise_gain_p99_per_s,velocity_noise_gain_max_per_s,acceleration_noise_gain_p50_per_s2,acceleration_noise_gain_p99_per_s2,acceleration_noise_gain_max_per_s2
no_velocity_limit,Simplified · no velocity limit,fixed_10ms,1275,1273,0,9.999999999999787,9.999999999999787,10.000000000001563,10.000000000001563,100.00000000000213,100.00000000001101,100.00000000001101,39999.99999999993,40000.0000000017,40000.0000000017
no_velocity_limit,Simplified · no velocity limit,csv_timestamp_proxy,1275,1273,0,2.7070045471191406,9.995222091674805,15.611810684204098,22.07636833190918,126.23421172481267,389.6311027577165,541.063453433199,41032.73361541768,92042.15435112298,224839.65686901883
velocity_limit,Simplified · velocity limit,fixed_10ms,7673,7671,0,9.999999999990905,9.999999999999787,10.000000000005116,10.000000000005116,100.00000000003766,100.000000000162,100.000000000162,40000.0000000017,40000.00000001592,40000.00000001592
velocity_limit,Simplified · velocity limit,csv_timestamp_proxy,7673,7671,0,8.97979736328125,9.995460510253906,10.561912059783936,11.08551025390625,103.28412901866912,111.92937920047422,120.28966470302421,40047.64153919088,42369.4488979478,44312.587539215914
