method,jerk_semantic,max_abs_jerk
deployed_p_only,sampled_output,1639.9999999999998
deployed_p_only,sampled_output,1639.9999999999998
deployed_p_only,sampled_output,1639.9999999999998
deployed_p_only,sampled_output,329.2357121867651
deployed_p_only,sampled_output,351.4790564117395
deployed_p_only,sampled_output,352.11610116445763
deployed_p_only,sampled_output,354.2451803955626
deployed_p_only,sampled_output,361.38076143758735
deployed_p_only,sampled_output,407.6288481145885
deployed_p_only,sampled_output,417.41241825813745
deployed_p_only,sampled_output,420.6139789099069
deployed_p_only,sampled_output,423.5681265030953
deployed_p_only,sampled_output,434.81129985088813
deployed_p_only,sampled_output,437.73778828309565
deployed_p_only,sampled_output,442.4888713642349
deployed_p_only,sampled_output,445.24823218230966
deployed_p_only,sampled_output,453.6074377026473
deployed_p_only,sampled_output,464.25713247645325
deployed_p_only,sampled_output,464.3943210349256
deployed_p_only,sampled_output,472.20051596170913
deployed_p_only,sampled_output,487.67058069096106
deployed_p_only,sampled_output,495.09356622623244
deployed_p_only,sampled_output,501.32474961889636
deployed_p_only,sampled_output,516.8857513576271
deployed_p_only,sampled_output,523.8352625081064
deployed_p_only,sampled_output,526.7053578599246
deployed_p_only,sampled_output,529.8078947733258
deployed_p_only,sampled_output,546.1120481244419
deployed_p_only,sampled_output,553.8452030003242
deployed_p_only,sampled_output,558.2022311945225
deployed_p_only,sampled_output,562.0024509409016
deployed_p_only,sampled_output,568.4035457391011
deployed_p_only,sampled_output,578.204875219121
deployed_p_only,sampled_output,588.8002313808815
deployed_p_only,sampled_output,593.3839198664963
deployed_p_only,sampled_output,600.4235985385277
deployed_p_only,sampled_output,602.6004430983215
deployed_p_only,sampled_output,605.5527650841185
deployed_p_only,sampled_output,607.5074991162305
deployed_p_only,sampled_output,627.8550803000819
deployed_p_only,sampled_output,634.3128962438327
deployed_p_only,sampled_output,638.1398351873236
deployed_p_only,sampled_output,639.2446555128481
deployed_p_only,sampled_output,639.4521956651397
deployed_p_only,sampled_output,660.2955030195742
deployed_p_only,sampled_output,665.803791523905
deployed_p_only,sampled_output,669.8516816679982
deployed_p_only,sampled_output,671.9418437080494
deployed_p_only,sampled_output,721.5274194469816
deployed_p_only,sampled_output,728.7463542200959
deployed_p_only,sampled_output,728.8358264547691
deployed_p_only,sampled_output,748.5246448519118
deployed_p_only,sampled_output,819.9999999999998
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,819.9999999999999
deployed_p_only,sampled_output,820.0000000000001
deployed_p_only,sampled_output,820.0000000000002
deployed_p_only,sampled_output,886.1436991649937
deployed_p_only,sampled_output,921.4566479549069
deployed_p_only,sampled_output,999.4313340229648
jerk_qp_pva_direct,direct_new_jerk,1.7375684802611173
jerk_qp_pva_direct,direct_new_jerk,101.3381448356631
jerk_qp_pva_direct,direct_new_jerk,102.84089177520377
jerk_qp_pva_direct,direct_new_jerk,108.50788865043059
jerk_qp_pva_direct,direct_new_jerk,113.31362335489865
jerk_qp_pva_direct,direct_new_jerk,113.87361253503818
jerk_qp_pva_direct,direct_new_jerk,119.43515251027704
jerk_qp_pva_direct,direct_new_jerk,12.95097124013214
jerk_qp_pva_direct,direct_new_jerk,12.952393419915852
jerk_qp_pva_direct,direct_new_jerk,13.847890480404102
