run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,chirp_metadata_kind,chirp_start_hz,chirp_end_hz,chirp_duration_s,chirp_observed_truth_duration_s,frequency_band_index,frequency_band_count,frequency_low_hz,frequency_high_hz,frequency_center_hz,window_start_time_s,window_end_time_s,window_duration_s,window_truth_sample_denominator,evaluated_sample_count,evaluated_sample_fraction,evaluated_start_time_s,evaluated_end_time_s,evaluated_time_coverage_fraction,projection_weight_denominator_s,trajectory_sample_count_denominator,truth_aligned_sample_count,future_tail_excluded_sample_count,joint_index,joint_id,reference_projection_magnitude,reference_projection_normalized,gain,phase_rad,phase_delay_s,group_delay_s,local_delay_samples,local_delay_s,local_delay_aligned_rmse,local_delay_overlap_count,local_delay_overlap_denominator,local_delay_overlap_fraction,local_delay_candidate_count,max_local_lag_s,minimum_lag_overlap_fraction
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,0,6,0.3283738747141384,0.4910533379886396,0.409713606351389,0.0,0.6707640261061446,0.6707640261061446,68,67,0.9852941176470589,0.01,0.67,0.998860961416521,0.32999999999999996,403,402,1,0,joint_0,0.0010688460054162437,0.2731681657547944,1.1085459669369888,-0.00830714731138455,0.0032269456935376615,-0.0021676917076854513,2,0.020000000000000018,0.00028952387006369706,65,67,0.9701492537313433,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,1,6,0.4910533379886396,0.6537328012631408,0.5723930696258902,0.6707640261061446,1.3415280522122894,0.6707640261061448,67,67,1.0,0.68,1.34,0.9988609614165207,0.32999999999999996,403,402,1,0,joint_0,0.0049130108503325325,0.3993247562044297,0.982866351337288,-0.009664216180775936,0.0026871530385307748,0.004823026490974262,3,0.030000000000000027,0.001107455186781727,64,67,0.9552238805970149,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,2,6,0.6537328012631408,0.8164122645376419,0.7350725329003913,1.3415280522122894,2.012292078318434,0.6707640261061445,67,67,1.0,1.35,2.01,0.9988609614165207,0.32999999999999985,403,402,1,0,joint_0,0.007099924325620368,0.4870339313210865,0.909399238645677,-0.018166814195338814,0.003933405412404366,0.014410416297265726,3,0.030000000000000027,0.0015718314379421258,64,67,0.9552238805970149,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,3,6,0.8164122645376419,0.9790917278121432,0.8977519961748925,2.012292078318434,2.6830561044245784,0.6707640261061445,67,67,1.0,2.02,2.6799999999999997,0.9988609614165207,0.32999999999999985,403,402,1,0,joint_0,0.009834818537798279,0.563805242198645,0.9441515413386377,-0.039123292264234256,0.006935841279565104,0.060382162626643865,4,0.040000000000000036,0.0024161023977312176,63,67,0.9402985074626866,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,4,6,0.9790917278121432,1.1417711910866444,1.0604314594493938,2.6830561044245784,3.3538201305307234,0.6707640261061449,67,67,1.0,2.69,3.3499999999999996,0.99886096141652,0.32999999999999985,403,402,1,0,joint_0,0.007016810772790022,0.5319283912439278,1.2750948799561839,-0.14160549120563254,0.021252871832031745,0.05188466334703591,4,0.040000000000000036,0.0029167469722622304,63,67,0.9402985074626866,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__003,test,120803,clean,deployed_p_only,403,1,command_p,linear_chirp,0.3283738747141384,1.3044506543611456,4.024584156636868,4.0200000000000005,5,6,1.1417711910866444,1.3044506543611456,1.223110922723895,3.3538201305307234,4.024584156636868,0.6707640261061445,67,67,1.0,3.36,4.02,0.9988609614165207,0.32999999999999985,403,402,1,0,joint_0,0.012259385152693269,0.6460962809503058,0.7694490288973043,-0.14519061284504015,0.01889264767039132,-0.0448697664570131,4,0.040000000000000036,0.003838270864224916,63,67,0.9402985074626866,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__006,test,120806,clean,deployed_p_only,357,1,command_p,linear_chirp,0.2508686901646257,1.8601262493444635,3.565630394723021,3.56,0,6,0.2508686901646257,0.5190782833612653,0.3849734867629455,0.0,0.5942717324538367,0.5942717324538367,60,59,0.9833333333333333,0.01,0.59,0.9928118195422183,0.29,357,356,1,0,joint_0,1.9875864798621025e-05,0.057216598869798796,1.634403677365556,-0.31169877069174295,0.1288618614450334,-0.27520729134349875,1,0.010000000000000009,6.87049481932171e-05,58,59,0.9830508474576272,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__006,test,120806,clean,deployed_p_only,357,1,command_p,linear_chirp,0.2508686901646257,1.8601262493444635,3.565630394723021,3.56,1,6,0.5190782833612653,0.787287876557905,0.6531830799595851,0.5942717324538367,1.1885434649076736,0.5942717324538369,59,59,1.0,0.6,1.18,0.992811819542218,0.29,357,356,1,0,joint_0,0.0013702120442069948,0.39822522036763514,1.0113973721751721,-0.006780587300670124,0.001652161574721981,-0.08666817736660651,2,0.020000000000000018,0.00039311185258572204,57,59,0.9661016949152542,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__006,test,120806,clean,deployed_p_only,357,1,command_p,linear_chirp,0.2508686901646257,1.8601262493444635,3.565630394723021,3.56,2,6,0.787287876557905,1.0554974697545445,0.9213926731562248,1.1885434649076736,1.7828151973615103,0.5942717324538367,60,60,1.0,1.19,1.78,1.0,0.2950000000000001,357,356,1,0,joint_0,0.002580963873485067,0.5308813622495179,0.9957611656123974,-0.01959051262563898,0.003383928495322401,0.021396254019605952,2,0.020000000000000018,0.0002790069665768013,58,60,0.9666666666666667,11,0.05,0.5
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__006,test,120806,clean,deployed_p_only,357,1,command_p,linear_chirp,0.2508686901646257,1.8601262493444635,3.565630394723021,3.56,3,6,1.0554974697545445,1.3237070629511842,1.1896022663528645,1.7828151973615103,2.377086929815347,0.5942717324538369,59,59,1.0,1.79,2.3699999999999997,0.9928118195422174,0.28999999999999987,357,356,1,0,joint_0,0.002176540541178012,0.5448077466320463,1.166131066934031,-0.07889497438844022,0.01055522968825967,0.02298784738629868,2,0.020000000000000018,0.00042320839693406125,57,59,0.9661016949152542,11,0.05,0.5
