comparison_id,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high
lag:one_step_pva-vs-predicted_p,-0.0035118525021949495,-1.3579489030700382,0.5618454061496787
max_error:one_step_pva-vs-predicted_p,0.5947652943533362,0.2957533036819807,0.7969698926089075
position:jerk_qp_direct-vs-jerk_qp_ruckig,-0.17856694502886153,-1.0298024497802747,0.2251200489399457
position:jerk_qp_direct-vs-one_step_direct,-0.4358573107791126,-1.3251745802408328,0.002012906233487117
position:one_step_direct-vs-one_step_ruckig,0.17881525134266174,-0.009797032930769606,0.33121866529359295
position:one_step_pva-vs-deployed_p_only,0.5588954638297935,0.2701146488238302,0.7601217189327932
position:one_step_pva-vs-raw_predicted_pv,-0.3113277126209383,-0.9465099729761954,0.1725818963470271
primary_position:one_step_pva-vs-predicted_p,0.5588953441317794,0.27523699078336755,0.7594820467785718
