method,total_compute_us
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.0
deployed_p_only,148.041
deployed_p_only,148.041
deployed_p_only,148.041
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.042
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.083
deployed_p_only,148.084
deployed_p_only,148.084
deployed_p_only,148.084
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.125
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.166
deployed_p_only,148.167
deployed_p_only,148.167
deployed_p_only,148.167
deployed_p_only,148.167
deployed_p_only,148.167
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.208
deployed_p_only,148.209
deployed_p_only,148.209
deployed_p_only,148.209
deployed_p_only,148.209
deployed_p_only,148.209
deployed_p_only,148.209
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.25
deployed_p_only,148.291
deployed_p_only,148.291
deployed_p_only,148.291
deployed_p_only,148.291
deployed_p_only,148.291
deployed_p_only,148.292
deployed_p_only,148.292
deployed_p_only,148.292
deployed_p_only,148.292
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.333
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.334
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.375
deployed_p_only,148.416
deployed_p_only,148.416
deployed_p_only,148.416
deployed_p_only,148.416
deployed_p_only,148.416
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.417
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.458
deployed_p_only,148.459
deployed_p_only,148.459
deployed_p_only,148.459
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.5
deployed_p_only,148.541
deployed_p_only,148.541
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.542
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.583
deployed_p_only,148.584
deployed_p_only,148.584
deployed_p_only,148.584
deployed_p_only,148.584
deployed_p_only,148.584
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.625
deployed_p_only,148.666
deployed_p_only,148.666
deployed_p_only,148.666
deployed_p_only,148.667
deployed_p_only,148.667
deployed_p_only,148.667
deployed_p_only,148.667
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.708
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.709
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.75
deployed_p_only,148.791
deployed_p_only,148.791
deployed_p_only,148.791
deployed_p_only,148.791
deployed_p_only,148.791
deployed_p_only,148.791
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.792
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.833
deployed_p_only,148.834
deployed_p_only,148.834
deployed_p_only,148.834
deployed_p_only,148.834
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
deployed_p_only,148.875
