trajectory_id,joint_id,method_id,control_time,command_time,p_ref,command_p
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.0,0.01,-0.5932024882537131,-0.5932024882537131
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.01,0.02,-0.5641663905466916,-0.593191204871558
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.02,0.03,-0.5348123524176717,-0.5930639822465185
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.03,0.04,-0.5051569165860634,-0.5925705025281293
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.04,0.05,-0.4752167956262917,-0.5916438374676548
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.05,0.060000000000000005,-0.44500886254928385,-0.5902650079337348
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.06,0.06999999999999999,-0.41455014129354123,-0.5884128051873843
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.07,0.08,-0.3838577971311556,-0.5860665171450359
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.08,0.09,-0.35294912699417497,-0.5832059484389229
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.09,0.09999999999999999,-0.3218415497267719,-0.5798114601837754
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.1,0.11,-0.29055259626870705,-0.575864009092559
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.11,0.12,-0.25909989977562087,-0.5713451858355378
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.12,0.13,-0.22750118568172037,-0.5662372525849941
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.13,0.14,-0.19577426171046164,-0.5605231796887026
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.14,0.15000000000000002,-0.1639370078388584,-0.5541866814164401
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.15,0.16,-0.13200736622107045,-0.5472122507250737
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.16,0.17,-0.10000333107695246,-0.539585192989104
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.17,0.18000000000000002,-0.06794293855126128,-0.5312916586449514
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.18,0.19,-0.03584425654923495,-0.5223186746987579
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.19,0.2,-0.0037253745542738465,-0.5126541750490246
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.2,0.21000000000000002,0.028395606566538528,-0.5022870295770284
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.21,0.22,0.06050058476333028,-0.4912070719596447
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.22,0.23,0.09257146700500297,-0.47940512616095154
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.23,0.24000000000000002,0.12459017947570943,-0.4668730315608005
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.24,0.25,0.15653867776050323,-0.4536036666804062
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.25,0.26,0.18839895701441972,-0.4395909714669309
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.26,0.27,0.22015306210925517,-0.42482996810101537
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.27,0.28,0.2517830977523292,-0.40931678029323504
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.28,0.29000000000000004,0.2832712385715254,-0.39304865103753567
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.29,0.3,0.3145997391609275,-0.37602395879182055
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.3,0.31,0.345750944081391,-0.3582422320580242
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.31,0.32,0.37670729781041096,-0.3397041623362063
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.32,0.33,0.40745135463568294,-0.3204116154294387
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.33,0.34,0.43796578848677853,-0.3003676410785239
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.34,0.35000000000000003,0.4682334026993957,-0.27957648090788645
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.35000000000000003,0.36000000000000004,0.49823713970668043,-0.25804357466630284
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.36,0.37,0.5279600906521604,-0.23577556474848638
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.37,0.38,0.5573855049188706,-0.2127802989859111
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.38,0.39,0.5864967995693006,-0.18906683169765046
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.39,0.4,0.6152775686908466,-0.16464542299440493
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.4,0.41000000000000003,0.6437115926414982,-0.13952753633130477
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.41000000000000003,0.42000000000000004,0.6717828471905518,-0.1137258343074952
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.42,0.43,0.6994755125491964,-0.08725417271293438
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.43,0.44,0.7267739822858871,-0.06012759282525935
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.44,0.45,0.7536628721214765,-0.03236231196199721
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.45,0.46,0.780127028599152,-0.003975712295815583
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.46,0.47000000000000003,0.80615153762429,0.025013672057085306
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.47000000000000003,0.48000000000000004,0.8317217328694176,0.05458616966294245
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.48,0.49,0.8568232040395393,0.08472098809588409
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.49,0.5,0.8814418049931786,0.11539623194562752
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.5,0.51,0.9055636617145504,0.14658892248784422
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.51,0.52,0.929175180132376,0.17827501899529744
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.52,0.53,0.952263053780933,0.21042944166557234
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.53,0.54,0.9748142712990223,0.24302609613896464
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.54,0.55,0.996816123762627,0.2760378995778698
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.55,0.56,1.0182562118471286,0.30943680827683406
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.56,0.5700000000000001,1.0391224528150484,0.3431938467702817
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.5700000000000001,0.5800000000000001,1.0594030873253726,0.3772791384028359
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.58,0.59,1.079086686060621,0.4116619373250925
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.59,0.6,1.0981621561679356,0.4463106618757005
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.6,0.61,1.116618747510544,0.4811929293086537
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.61,0.62,1.1344460587260878,0.5162755918227893
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.62,0.63,1.1516340430883927,0.5515247738486492
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.63,0.64,1.1681730141693818,0.5869059105460769
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.64,0.65,1.184053651297942,0.6223837874641954
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.65,0.66,1.1992670048126597,0.6579225813137576
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.66,0.67,1.213804501105476,0.6934859018002556
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.67,0.68,1.2276579474534117,0.7290368344646674
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.68,0.6900000000000001,1.2408195366356405,0.7645379844772476
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.6900000000000001,0.7000000000000001,1.2532818513333115,0.7999515213283963
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.7000000000000001,0.7100000000000001,1.2650378683096362,0.8352392243593266
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.71,0.72,1.276080962367891,0.87036252907402
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.72,0.73,1.2864049100850972,0.9052825741728051
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.73,0.74,1.2960038933192801,0.9399602492468134
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.74,0.75,1.3048725024883283,0.9743562430715759
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.75,0.76,1.3130057396186061,1.008431092437106
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.76,0.77,1.320399021161598,1.0421452314509874
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.77,0.78,1.3270481805770042,1.0754590412502318
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.78,0.79,1.332949470680826,1.1083329000570201
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.79,0.8,1.3380995657571175,1.1407272335128555
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.8,0.81,1.3424955634322193,1.1726025652251737
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.81,0.8200000000000001,1.3461349863104104,1.2039195674600542
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.8200000000000001,0.8300000000000001,1.3490157833700627,1.2346391119143645
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.8300000000000001,0.8400000000000001,1.3511363311195088,1.2647223205004383
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.84,0.85,1.352495434511969,1.2941306160762687
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.85,0.86,1.3530923276190294,1.3228257730541293
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.86,0.87,1.3529266740622805,1.3507699678206024
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.87,0.88,1.3519985672028862,1.3779267114174096
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.88,0.89,1.3503085300889646,1.4042687187875007
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.89,0.9,1.3478575151608159,1.429790726157592
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.9,0.91,1.3446469037141655,1.4544927335276832
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.91,0.92,1.3406785051217178,1.4783747408977743
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.92,0.93,1.3359545558134684,1.5014367482678654
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.93,0.9400000000000001,1.3304777180163405,1.5236787556379565
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.9400000000000001,0.9500000000000001,1.3242510782538623,1.5451007630080478
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.9500000000000001,0.9600000000000001,1.317278145606728,1.565702770378139
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.96,0.97,1.3095628497352223,1.5854847777482302
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.97,0.98,1.3011095386646259,1.6044467851183213
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.98,0.99,1.2919229763348457,1.6225887924884124
oscillatory__test__004,joint_0,one_step_governed_pva_direct,0.99,1.0,1.2820083399156539,1.6399107998585036
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.0,1.01,1.271371216889048,1.6564128072285949
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.01,1.02,1.2600176019003773,1.672094814598686
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.02,1.03,1.247953893380004,1.6869568219687772
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.03,1.04,1.2351868899374163,1.7009988293388683
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.04,1.05,1.2217237865298094,1.7142208367089595
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.05,1.06,1.2075721704073055,1.7266228440790508
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.06,1.07,1.192740016837094,1.738204851449142
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.07,1.08,1.1772356846088994,1.748966858819233
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.08,1.09,1.1610679113243143,1.7589088661893242
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.09,1.1,1.1442458084726461,1.7680308735594152
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.1,1.11,1.1267788562960632,1.7763328809295065
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.11,1.12,1.1086768984469184,1.7838148882995977
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.12,1.1300000000000001,1.0899501364402777,1.7904768956696888
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.1300000000000001,1.1400000000000001,1.0706091239047666,1.79631890303978
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.1400000000000001,1.1500000000000001,1.0506647606349848,1.801340910409871
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.1500000000000001,1.1600000000000001,1.0301282864488315,1.8055429177799622
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.16,1.17,1.0090112748532125,1.8089249251500534
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.17,1.18,0.9873256265216889,1.8114869325201446
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.18,1.19,0.9650835625877545,1.8132289398902357
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.19,1.2,0.9422976177575096,1.8141509472603268
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.2,1.21,0.918980633245623,1.814252954630418
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.21,1.22,0.8951457495385541,1.8135349620005092
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.22,1.23,0.8708063989891224,1.8119969693706004
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.23,1.24,0.8459762982465912,1.8096389767406915
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.24,1.25,0.8206694405265312,1.8064609841107826
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.25,1.26,0.7949000877248305,1.8024629914808739
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.26,1.27,0.7686827623802769,1.797644998850965
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.27,1.28,0.7420322394902634,1.7920070062210562
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.28,1.29,0.7149635381842103,1.7855490135911474
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.29,1.3,0.6874919132594107,1.7782710209612385
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.3,1.31,0.6596328465840587,1.7701730283313297
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.31,1.32,0.6314020383723143,1.761255035701421
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.32,1.33,0.6028153983363135,1.7515170430715121
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.33,1.34,0.5738890367201183,1.7409590504416033
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.34,1.35,0.5446392552206506,1.7295810578116944
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.35,1.36,0.5150825378007365,1.7173830651817856
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.36,1.37,0.48523554139942976,1.7043650725518769
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.37,1.3800000000000001,0.4551150865448518,1.690527079921968
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.3800000000000001,1.3900000000000001,0.4247381478748458,1.6758690872920592
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.3900000000000001,1.4000000000000001,0.3941218445707731,1.6603910946621503
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.4000000000000001,1.4100000000000001,0.3632834307098588,1.6440931020322413
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.41,1.42,0.33224028554150886,1.6269751094023326
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.42,1.43,0.30100990369308955,1.6090371167724238
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.43,1.44,0.2696098853106838,1.590279124142515
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.44,1.45,0.23805792614038296,1.570701131512606
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.45,1.46,0.20637180755569737,1.550303138882697
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.46,1.47,0.174569386536719,1.5290851462527884
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.47,1.48,0.14266858560666637,1.5070471536228796
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.48,1.49,0.11068738273150136,1.4841891609929707
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.49,1.5,0.0786438011882923,1.4605111683630618
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.5,1.51,0.04655589940804842,1.436013175733153
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.51,1.52,0.014441760798738152,1.4106951831032442
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.52,1.53,-0.01768051644576448,1.3845571904733354
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.53,1.54,-0.04979282954507002,1.3575991978434265
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.54,1.55,-0.08187708133424504,1.3298212052135177
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.55,1.56,-0.11391519046262018,1.3012232125836087
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.56,1.57,-0.1458891015836888,1.2718052199537
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.57,1.58,-0.17778079553034376,1.2415672273237912
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.58,1.59,-0.20957229946973385,1.2105092346938824
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.59,1.6,-0.2412456970319989,1.1786312420639735
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.6,1.61,-0.27278313840719387,1.1459332494340646
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.61,1.62,-0.30416685040469327,1.1124152568041559
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.62,1.6300000000000001,-0.3353791464694254,1.078077264174247
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.6300000000000001,1.6400000000000001,-0.36640243664927286,1.0429192715443383
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.6400000000000001,1.6500000000000001,-0.39721923750804145,1.0069412789144294
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.6500000000000001,1.6600000000000001,-0.4278121819783911,0.9701432862845206
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.6600000000000001,1.6700000000000002,-0.4581640291491959,0.9325252936546118
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.67,1.68,-0.48825767398179787,0.894087301024703
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.68,1.69,-0.5180761569497,0.8548293083947942
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.69,1.7,-0.547602673596242,0.8147513157648854
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.7,1.71,-0.5768205840048944,0.7739559873449462
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.71,1.72,-0.6057134221768237,0.7739559873449462
oscillatory__test__004,joint_0,one_step_governed_pva_direct,1.72,1.73,-0.6342649053104392,0.7739559873449462
