trajectory_id,follower,position_rmse
boundary_grazing__test__001,direct,0.004344093818210483
boundary_grazing__test__001,ruckig,0.004344093814252176
boundary_grazing__test__002,direct,0.008442386543822705
boundary_grazing__test__002,ruckig,0.008442386544576297
boundary_grazing__test__003,direct,0.019682769353001332
boundary_grazing__test__003,ruckig,0.019682769602260876
boundary_grazing__test__004,direct,0.017364700302152442
boundary_grazing__test__004,ruckig,0.01736469494449901
boundary_grazing__test__005,direct,0.004407968986575235
boundary_grazing__test__005,ruckig,0.00440796898633798
boundary_grazing__test__006,direct,0.008306208055296763
boundary_grazing__test__006,ruckig,0.008306208055124659
boundary_grazing__test__007,direct,0.01850507722181053
boundary_grazing__test__007,ruckig,0.01850507750707904
boundary_grazing__test__008,direct,0.013313732853771014
boundary_grazing__test__008,ruckig,0.013313732853319977
boundary_grazing__test__009,direct,0.002659573278130651
boundary_grazing__test__009,ruckig,0.0026595732777578525
boundary_grazing__test__010,direct,0.00851589620992937
boundary_grazing__test__010,ruckig,0.00851589650769599
boundary_grazing__test__011,direct,0.010318050983119357
boundary_grazing__test__011,ruckig,0.010318050950666676
boundary_grazing__test__012,direct,0.01671113542081978
boundary_grazing__test__012,ruckig,0.016711136974354047
boundary_grazing__test__013,direct,0.0035766113377652636
boundary_grazing__test__013,ruckig,0.003576611817341144
boundary_grazing__test__014,direct,0.014805767357505852
boundary_grazing__test__014,ruckig,0.014805771224800538
boundary_grazing__test__015,direct,0.008817830504196968
boundary_grazing__test__015,ruckig,0.008817830504246714
boundary_grazing__test__016,direct,0.03376391644767448
boundary_grazing__test__016,ruckig,0.03376391643094255
boundary_grazing__test__017,direct,0.004144915689753651
boundary_grazing__test__017,ruckig,0.004144915690124652
boundary_grazing__test__018,direct,0.009269703148513692
boundary_grazing__test__018,ruckig,0.009269703213855125
boundary_grazing__test__019,direct,0.0184680525096248
boundary_grazing__test__019,ruckig,0.01846805250962478
boundary_grazing__test__020,direct,0.02584624513860474
boundary_grazing__test__020,ruckig,0.0258462359641664
oscillatory__test__001,direct,0.057924297560180575
oscillatory__test__001,ruckig,0.057924297560479183
oscillatory__test__002,direct,0.05270179015499766
oscillatory__test__002,ruckig,0.05270179028012041
oscillatory__test__003,direct,0.03265050928210029
oscillatory__test__003,ruckig,0.03265050930717807
oscillatory__test__004,direct,1.1113098209427474
oscillatory__test__004,ruckig,1.4516290694053195
oscillatory__test__005,direct,0.04998973556779011
oscillatory__test__005,ruckig,0.04998973556779286
oscillatory__test__006,direct,0.0054470823045557745
oscillatory__test__006,ruckig,0.005447082252402309
oscillatory__test__007,direct,0.10560038131629752
