run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,deployed_p_only,413,1,command_p,412,0.01,4.12,0,joint_0,0.5143739466655641,0.957945949287394,-0.6622054432749923,0.20489620503291037,-0.30297865974982396
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,deployed_p_only,413,1,command_p,412,0.01,4.12,0,joint_0,0.6724949523256338,1.9220759499795972,0.04646310014056704,-0.010996115336140507,-1.1236262524500489
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,0.5974972976862298,2.6497315405602557,1.0121887696970866,-0.26961602447948285,0.8501531404609081
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,1.019866033571889,1.021007690704166,-0.0226748962234398,0.0035385253545673783,-0.07024850328606258
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,1.0974277279134148,1.0219263981098066,0.05274376935928598,-0.007649188550019505,-0.23926648425486755
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,0.6590389381141996,0.3879949772676609,-2.94307188486755,0.7107386396496743,2.319288441387072
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,0.929375814905544,0.8170998113051815,-5.894951511006363,1.00950622688525,1.1564211213512823
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,1.3777899378173297,0.4776744959124476,-6.435858969203857,0.7434360927426862,-0.7724541973463501
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.4599831735375878,0.570196625328101,0.03533266720731775,-0.012225161619321748,-0.5962379684450855
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.6323604173767177,0.41988609240010616,0.49735691799737497,-0.12517673435128435,-0.256930833931078
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,jerk_qp_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,1.1210317393139106,1.2671993996110316,-0.19047427953766857,0.02704198467997046,0.7049691377404841
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.5552966753942606,0.9046786251997264,-0.2730676800850012,0.07826459802466419,-0.005422037668894453
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.6331842666386539,0.9160815886178721,-0.2644567934210433,0.06647291811375818,-0.029768809937954256
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,jerk_qp_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.9913415985872082,0.9915309561924659,-0.07149495827946581,0.011478158520274001,-0.14172470507000748
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.4057980571309708,2.6520887349587947,-0.47618127233559054,0.18675940401443866,-1.2388402310594147
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.7343096839069067,0.907942749778482,0.5294807590741625,-0.11476013720852042,0.2644084585860058
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,jerk_qp_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.8724157210993015,1.0289904066069278,0.025849101352349843,-0.004715655799423177,0.8963730605061373
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.28757489185499024,1.4167768702237429,-0.9932434252763728,0.5496988968910819,-1.1906293601313074
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.8281948683327309,1.2175533514023749,0.40451216403363616,-0.07773546167505087,0.36764937066666903
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.8306539417994366,1.2124109425843461,0.3987769240962565,-0.07640644974658424,0.37473738451624783
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_direct,413,1,command_p,412,0.01,4.12,0,joint_0,0.27832834428920694,1.1491744302392284,-0.08773332668610595,0.0501680583472336,2.9334130348083116
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_direct,413,1,command_p,412,0.01,4.12,0,joint_0,0.5143739466655641,1.3214970937153565,-2.10711071839722,0.6519713695625313,-0.21026216376260853
paper-evidence-v1-locked-test::jerk_qp_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_direct,413,1,command_p,412,0.01,4.12,0,joint_0,0.6724949523256338,8.248273701253595,-0.852120380262658,0.2016657079122259,-2.316131024958736
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_ruckig,262,1,command_p,261,0.01,2.61,0,joint_0,0.5974972976862298,2.6497315465116857,1.0121887683276218,-0.2696160241146994,0.8501531365957328
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_ruckig,262,1,command_p,261,0.01,2.61,0,joint_0,1.019866033571889,1.0210076918040252,-0.022674894173876685,0.0035385250347233104,-0.07024850199757032
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,jerk_qp_pva_ruckig,262,1,command_p,261,0.01,2.61,0,joint_0,1.0974277279134148,1.021926400139603,0.05274377055031716,-0.00764918872274933,-0.23926648201998138
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_ruckig,278,1,command_p,277,0.01,2.77,0,joint_0,0.6590389381141996,0.3879949667375995,-2.9430718430295384,0.7107386295459824,2.3192885039040427
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_ruckig,278,1,command_p,277,0.01,2.77,0,joint_0,0.929375814905544,0.8170998043146506,-5.894951536641399,1.0095062312752314,1.1564211382808827
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,jerk_qp_pva_ruckig,278,1,command_p,277,0.01,2.77,0,joint_0,1.3777899378173297,0.4776745238721905,-6.435858936013464,0.743436088908709,-0.7724542560335914
