run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k172,stop,1.72,0,joint_0,2,0.020000000000000018,0.0006997978759579918,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k197,stop,1.97,0,joint_0,2,0.020000000000000018,0.0006655048392662006,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k221,stop,2.21,0,joint_0,2,0.020000000000000018,0.0007454592618468086,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k246,stop,2.46,0,joint_0,2,0.020000000000000018,0.0007161267279276243,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k271,stop,2.71,0,joint_0,2,0.020000000000000018,0.0006838537501866744,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k295,stop,2.95,0,joint_0,2,0.020000000000000018,0.0006671662049469024,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k320,stop,3.2,0,joint_0,2,0.020000000000000018,0.0006321498228392615,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k345,stop,3.45,0,joint_0,2,0.020000000000000018,0.0005952775915773683,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k370,stop,3.7,0,joint_0,2,0.020000000000000018,0.000555354108101368,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k394,stop,3.94,0,joint_0,2,0.020000000000000018,0.0007465400761289569,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__002,test,150802,clean,deployed_p_only,440,1,command_p,stop-j0-k419,stop,4.19,0,joint_0,2,0.020000000000000462,0.0006146772863237078,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k29,stop,0.29,0,joint_0,3,0.03,0.00114149765121088,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__003,test,150803,clean,deployed_p_only,290,1,command_p,stop-j0-k50,stop,0.5,0,joint_0,3,0.030000000000000027,0.001085512003230285,0.1,0.1,0.05
