r_j,r_a,pva_vs_pv_rmse_improvement
0.2,0.2,-0.04012037707115652
0.2,0.5,0.02105665500265614
0.2,0.75,0.020378196273454306
0.2,0.93,0.3857251633148735
0.5,0.2,-0.12276818530876366
0.5,0.5,-3.3157301064633358
0.5,0.75,0.6809252826476399
0.5,0.93,0.47506282802649624
0.75,0.2,0.18845244380109508
0.75,0.5,-278.11397363337727
0.75,0.75,0.5070436475190208
0.75,0.93,0.7003786217558811
0.93,0.2,-2175.242561612512
0.93,0.5,-5.810960917201639
0.93,0.75,0.23116268893932257
0.93,0.93,0.7663762059696219
