method,position_rmse
deployed_p_only,0.00011246159262527567
deployed_p_only,0.0001474433482981866
deployed_p_only,0.00018953719586039703
deployed_p_only,0.0001928537384496803
deployed_p_only,0.0002016166305219436
deployed_p_only,0.00038058448962211407
deployed_p_only,0.00039859139838871357
deployed_p_only,0.0004015888891766046
deployed_p_only,0.00040432281805827816
deployed_p_only,0.00041303838463647313
deployed_p_only,0.0005385183100817109
deployed_p_only,0.0007290344839064556
deployed_p_only,0.0008690405615242575
deployed_p_only,0.0008783613274292157
deployed_p_only,0.0009411272034199381
deployed_p_only,0.0009724507428533907
deployed_p_only,0.0009882810181190262
deployed_p_only,0.0010165008530804928
deployed_p_only,0.0011382137700653883
deployed_p_only,0.001157222576077003
deployed_p_only,0.0012461669244376553
deployed_p_only,0.001364923571513273
deployed_p_only,0.0016664923642551153
deployed_p_only,0.0018409601411406248
deployed_p_only,0.002397809514541449
deployed_p_only,0.002565318510889399
deployed_p_only,0.0033709802720994103
deployed_p_only,0.0034001871209687305
deployed_p_only,0.0035087785542652367
deployed_p_only,0.0035174132402954242
deployed_p_only,0.0036286221902361335
deployed_p_only,0.003974651158241805
deployed_p_only,0.004030040281496812
deployed_p_only,0.004039738442848381
deployed_p_only,0.004058521963457031
deployed_p_only,0.004213822178879189
deployed_p_only,0.004683178162347765
deployed_p_only,0.00469845127653794
deployed_p_only,0.005365944818002174
deployed_p_only,0.0057059467481693615
deployed_p_only,0.005786276707650553
deployed_p_only,0.005840025712130623
deployed_p_only,0.006625190090687691
deployed_p_only,0.006678902075160287
deployed_p_only,0.00783025184220028
deployed_p_only,0.008950573087420784
deployed_p_only,0.010005262538796229
deployed_p_only,0.012058505979025887
deployed_p_only,0.012293270385690327
deployed_p_only,0.012678175427159497
deployed_p_only,0.013190460157993569
deployed_p_only,0.013317073637003976
deployed_p_only,0.015017414997374317
deployed_p_only,0.015559098505723741
deployed_p_only,0.017572802878599657
deployed_p_only,0.018596899371339685
deployed_p_only,0.018657807741627078
deployed_p_only,0.02243821883344314
deployed_p_only,0.022632267547902343
deployed_p_only,0.02398163829248366
deployed_p_only,0.024045496049205493
deployed_p_only,0.024151073420915638
deployed_p_only,0.024686765177637588
deployed_p_only,0.02470441321720421
deployed_p_only,0.024725669243942382
deployed_p_only,0.02474202426299527
deployed_p_only,0.02479742383328755
deployed_p_only,0.025185123407500964
deployed_p_only,0.025309975123700215
deployed_p_only,0.025495274747367052
deployed_p_only,0.026121228293745597
deployed_p_only,0.026229162741206454
deployed_p_only,0.028014428959551797
deployed_p_only,0.029097372663756282
deployed_p_only,0.029206639509573466
deployed_p_only,0.03038749682238925
deployed_p_only,0.03174450468298988
deployed_p_only,0.03201635849024057
deployed_p_only,0.03351127183362144
deployed_p_only,0.0349077020440781
deployed_p_only,0.03790448196620877
deployed_p_only,0.03810934639465152
deployed_p_only,0.03991970731674794
deployed_p_only,0.05160390568549501
deployed_p_only,0.054322085388738214
deployed_p_only,0.06242142889794831
deployed_p_only,0.07169407007016572
deployed_p_only,0.08066922225363304
deployed_p_only,0.0928172177726223
deployed_p_only,0.12512242213471209
deployed_p_only,0.12855024858884387
deployed_p_only,0.12988263034683592
deployed_p_only,0.1457663203210889
deployed_p_only,0.14831558948446377
deployed_p_only,0.14918181551291204
deployed_p_only,0.14918998621046575
deployed_p_only,0.14931609792320885
deployed_p_only,0.15564213871827634
deployed_p_only,0.15828254455555138
deployed_p_only,0.17697897883898062
deployed_p_only,0.20741890677703284
deployed_p_only,0.21694607208555983
deployed_p_only,0.22455638728048846
deployed_p_only,0.2469164648162954
deployed_p_only,0.2700256346646151
deployed_p_only,0.2820593310639009
deployed_p_only,0.2830148985523803
deployed_p_only,0.2835781530594621
deployed_p_only,0.28625891580650237
deployed_p_only,0.2872917572716454
deployed_p_only,0.2942670023309951
deployed_p_only,0.3635940171484514
deployed_p_only,0.41354228600230886
deployed_p_only,0.44768448507859254
deployed_p_only,0.4590665178289611
deployed_p_only,0.4627117214810417
deployed_p_only,0.46491648759110027
deployed_p_only,0.4667552157996103
deployed_p_only,0.46864242088056146
deployed_p_only,0.5848777171032601
jerk_qp_pva_direct,0.0007455038468953343
jerk_qp_pva_direct,0.0010655960732662722
jerk_qp_pva_direct,0.0011873506025136841
jerk_qp_pva_direct,0.001319274699426766
jerk_qp_pva_direct,0.0014861348894638165
jerk_qp_pva_direct,0.0018077033663177282
jerk_qp_pva_direct,0.0020190207501271647
jerk_qp_pva_direct,0.0020582817914996405
jerk_qp_pva_direct,0.0026825498099594136
jerk_qp_pva_direct,0.003270814561480635
jerk_qp_pva_direct,0.00366208500248969
jerk_qp_pva_direct,0.003969074195196281
jerk_qp_pva_direct,0.0040767469426377205
jerk_qp_pva_direct,0.004102740613764973
jerk_qp_pva_direct,0.004146650514981872
jerk_qp_pva_direct,0.00433368701910556
jerk_qp_pva_direct,0.004366569474441726
jerk_qp_pva_direct,0.004440160717673933
jerk_qp_pva_direct,0.004442501682799618
jerk_qp_pva_direct,0.004499772240269268
