method,governor_position_distortion_rmse,one_step_reachable_rate
jerk_qp_pva_direct,0.05046274177431934,1.0
jerk_qp_pva_direct,0.07593398929145541,1.0
jerk_qp_pva_direct,0.08225978102780705,1.0
jerk_qp_pva_direct,0.09726420438623383,1.0
jerk_qp_pva_direct,0.09845254599855195,1.0
jerk_qp_pva_direct,0.09994699160404076,1.0
jerk_qp_pva_direct,0.1181994592742593,1.0
jerk_qp_pva_direct,0.12493272118756385,1.0
jerk_qp_pva_direct,0.13664457329719681,1.0
jerk_qp_pva_direct,0.16106111929963485,1.0
jerk_qp_pva_direct,0.1723973412543667,1.0
jerk_qp_pva_direct,0.22682085750695619,1.0
jerk_qp_pva_direct,0.28684591991441044,1.0
jerk_qp_pva_direct,0.4246255337199858,1.0
jerk_qp_pva_direct,0.4988325560949979,1.0
jerk_qp_pva_ruckig,0.00030943877001853644,1.0
jerk_qp_pva_ruckig,0.00054908958889326,1.0
jerk_qp_pva_ruckig,0.0005765876135798369,1.0
jerk_qp_pva_ruckig,0.0006042930420660223,1.0
jerk_qp_pva_ruckig,0.0008275415493434547,1.0
jerk_qp_pva_ruckig,0.0008353766784738294,1.0
jerk_qp_pva_ruckig,0.0008812555333875884,1.0
jerk_qp_pva_ruckig,0.0009085883605672548,1.0
jerk_qp_pva_ruckig,0.0009438240182665726,1.0
jerk_qp_pva_ruckig,0.0009897087091995712,1.0
jerk_qp_pva_ruckig,0.0010317121375193051,1.0
jerk_qp_pva_ruckig,0.001031956334567994,1.0
jerk_qp_pva_ruckig,0.00104797643865139,1.0
jerk_qp_pva_ruckig,0.0011858383106384967,1.0
jerk_qp_pva_ruckig,0.0012007227146515784,1.0
jerk_qp_pva_ruckig,0.0012339274992856394,1.0
jerk_qp_pva_ruckig,0.0012499214961669664,1.0
jerk_qp_pva_ruckig,0.0013297431483686834,1.0
jerk_qp_pva_ruckig,0.001332230087703477,1.0
jerk_qp_pva_ruckig,0.0013811188905629014,1.0
jerk_qp_pva_ruckig,0.0014099439393560438,1.0
jerk_qp_pva_ruckig,0.0014801100142407154,1.0
jerk_qp_pva_ruckig,0.0017607801094306817,1.0
jerk_qp_pva_ruckig,0.0018067203326963294,1.0
jerk_qp_pva_ruckig,0.0023117052693329325,1.0
jerk_qp_pva_ruckig,0.002333452620831949,1.0
