run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__002,test,3294604176415020925,clean,deployed_p_only,318,1,command_p,317,0.01,3.17,0,joint_0,0.18781339419735732,1.3232383779112655,-0.7228556586693266,0.6125550933725151,-0.9710081657557021
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__002,test,3294604176415020925,clean,deployed_p_only,318,1,command_p,317,0.01,3.17,0,joint_0,0.2756376443964122,0.8566059835433847,-0.3395544651966863,0.19606092521693672,-0.4182272560310269
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__002,test,3294604176415020925,clean,deployed_p_only,318,1,command_p,317,0.01,3.17,0,joint_0,0.640477843852745,2.0736105278017076,-2.0128757601844796,0.5001876803983114,1.8781396005319455
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__005,test,6819257678579939176,clean,deployed_p_only,345,1,command_p,344,0.01,3.44,0,joint_0,0.40910698314513216,2.220869345439161,-0.005504133608109837,0.0021412738165316088,1.3786791928153046
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__005,test,6819257678579939176,clean,deployed_p_only,345,1,command_p,344,0.01,3.44,0,joint_0,0.6379634658134007,3.882452784835094,-1.6836916254970609,0.42003634878782226,0.955463424907881
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__005,test,6819257678579939176,clean,deployed_p_only,345,1,command_p,344,0.01,3.44,0,joint_0,1.0060930796928869,0.8417833091964056,-3.106386243941441,0.4914025708504652,0.2746950437329314
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__007,test,2528065504470808384,clean,deployed_p_only,337,1,command_p,336,0.01,3.36,0,joint_0,0.46901738183005937,3.925678735595367,-2.1021681514905426,0.7133433972417214,0.49195115410128887
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__007,test,2528065504470808384,clean,deployed_p_only,337,1,command_p,336,0.01,3.36,0,joint_0,0.6254190586941705,1.850773531705327,-2.539421840204262,0.6462251715000266,0.39795088965259273
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__007,test,2528065504470808384,clean,deployed_p_only,337,1,command_p,336,0.01,3.36,0,joint_0,1.0570731603893486,1.458171135750269,-3.2669185063837385,0.4918734563063292,0.13851889043582588
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__010,test,1460394125314703161,clean,deployed_p_only,304,1,command_p,303,0.01,3.03,0,joint_0,0.2549061763608018,0.04120332655708442,2.17348009047065,-1.357048719057314,-1.3201707446505786
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,oscillatory__v3__test__010,test,1460394125314703161,clean,deployed_p_only,304,1,command_p,303,0.01,3.03,0,joint_0,0.715326146465985,3.3608643023250457,3.654028290144417,-0.8129951176078873,0.29659844212836073
