dof,method,total_p99_us
1,locked_one_step_direct,815.458
1,locked_one_step_direct,816.209
1,locked_one_step_direct,818.625
1,locked_one_step_direct,834.583
1,locked_one_step_direct,838.25
1,locked_one_step_direct,849.625
12,locked_one_step_direct,6044.042
12,locked_one_step_direct,6107.959
12,locked_one_step_direct,6119.458
12,locked_one_step_direct,6132.625
12,locked_one_step_direct,6304.958
3,locked_one_step_direct,1729.875
3,locked_one_step_direct,1732.083
3,locked_one_step_direct,1742.0
3,locked_one_step_direct,1751.083
3,locked_one_step_direct,1824.166
3,locked_one_step_direct,1853.083
6,locked_one_step_direct,3170.0
6,locked_one_step_direct,3173.042
6,locked_one_step_direct,3189.209
6,locked_one_step_direct,3192.709
6,locked_one_step_direct,3219.75
6,locked_one_step_direct,3241.792
7,locked_one_step_direct,3639.333
7,locked_one_step_direct,3683.416
7,locked_one_step_direct,3714.208
7,locked_one_step_direct,3752.625
7,locked_one_step_direct,3791.041
7,locked_one_step_direct,3825.458
