trajectory_id,method,position_rmse
stationary_endpoint__v3__test__004,one_step_governed_pva_direct,0.0049847538010480575
stationary_endpoint__v3__test__005,one_step_governed_pva_direct,0.011958313712277442
stationary_endpoint__v3__test__006,one_step_governed_pva_direct,0.018684382913201496
stationary_endpoint__v3__test__007,one_step_governed_pva_direct,0.0208184320415345
stationary_endpoint__v3__test__008,one_step_governed_pva_direct,0.004895890414429682
stationary_endpoint__v3__test__009,one_step_governed_pva_direct,0.010969507374072568
stationary_endpoint__v3__test__010,one_step_governed_pva_direct,0.01683372847311635
stationary_endpoint__v3__test__011,one_step_governed_pva_direct,0.02278421553240372
stationary_endpoint__v3__test__012,one_step_governed_pva_direct,0.0044045424840257535
stationary_endpoint__v3__test__013,one_step_governed_pva_direct,0.011535917370191252
stationary_endpoint__v3__test__014,one_step_governed_pva_direct,0.016694782226018005
stationary_endpoint__v3__test__015,one_step_governed_pva_direct,0.02212225138570017
stationary_endpoint__v3__test__016,one_step_governed_pva_direct,0.004888952720157088
stationary_endpoint__v3__test__017,one_step_governed_pva_direct,0.012396907043159898
stationary_endpoint__v3__test__018,one_step_governed_pva_direct,0.01644714492581372
stationary_endpoint__v3__test__019,one_step_governed_pva_direct,0.023056948274062683
stop_and_go__v3__test__000,one_step_governed_pva_direct,0.002473015929332436
stop_and_go__v3__test__001,one_step_governed_pva_direct,0.005512789595549594
stop_and_go__v3__test__002,one_step_governed_pva_direct,0.00881402089644802
stop_and_go__v3__test__003,one_step_governed_pva_direct,0.014804713647274322
stop_and_go__v3__test__004,one_step_governed_pva_direct,0.0026305869570316326
stop_and_go__v3__test__005,one_step_governed_pva_direct,0.005362452329737138
stop_and_go__v3__test__006,one_step_governed_pva_direct,0.008317687038000086
stop_and_go__v3__test__007,one_step_governed_pva_direct,0.010544303075071804
stop_and_go__v3__test__008,one_step_governed_pva_direct,0.0021884887450525064
stop_and_go__v3__test__009,one_step_governed_pva_direct,0.0054597379177631165
stop_and_go__v3__test__010,one_step_governed_pva_direct,0.014238639273957627
stop_and_go__v3__test__011,one_step_governed_pva_direct,0.010974756433106738
stop_and_go__v3__test__012,one_step_governed_pva_direct,0.0023109867087331526
stop_and_go__v3__test__013,one_step_governed_pva_direct,0.0053714956434211805
stop_and_go__v3__test__014,one_step_governed_pva_direct,0.011188241387195607
stop_and_go__v3__test__015,one_step_governed_pva_direct,0.010810320852882641
stop_and_go__v3__test__016,one_step_governed_pva_direct,0.002160587072887914
stop_and_go__v3__test__017,one_step_governed_pva_direct,0.008381465540214635
stop_and_go__v3__test__018,one_step_governed_pva_direct,0.008685220969473908
stop_and_go__v3__test__019,one_step_governed_pva_direct,0.01729507118257248
