bundle,run_id,attempted_trajectory_runs,successful_trajectory_runs,failure_event_count,fallback_event_count,completion_rate,status
acceleration,paper-evidence-v3-acceleration,1792,1792,0,107986,1.0,no_failures
governor_infeasible,paper-evidence-v3-governor-infeasible,24,24,0,1235,1.0,no_failures
locked_test,paper-evidence-v3-locked-test,2880,2880,0,488712,1.0,no_failures
multidof,paper-evidence-v3-multidof-plant,30,29,1,0,0.9666666666666667,failures_observed
plant,paper-evidence-v3-multidof-plant,1368,1368,0,35324,1.0,no_failures
rate_study,paper-evidence-v3-rate-study,96,96,0,0,1.0,no_failures
real_replay,paper-evidence-v3-real-replay,6,6,0,5260,1.0,no_failures
robustness,paper-evidence-v3-robustness,1296,1296,0,217437,1.0,no_failures
validation,paper-evidence-v3-validation,240,240,0,317,1.0,no_failures
