sampling_rate_hz,method,position_rmse
100.0,locked_one_step_direct,0.002473015929332436
100.0,locked_one_step_direct,0.002564246596545035
100.0,locked_one_step_direct,0.003950226249177078
100.0,locked_one_step_direct,0.0044519240941501
100.0,locked_one_step_direct,0.004916239747602473
100.0,locked_one_step_direct,0.005247031430342242
100.0,locked_one_step_direct,0.005512789595549594
100.0,locked_one_step_direct,0.005563556576418409
100.0,locked_one_step_direct,0.00881402089644802
100.0,locked_one_step_direct,0.009871697837108982
100.0,locked_one_step_direct,0.011151918366265123
100.0,locked_one_step_direct,0.011592688131811812
100.0,locked_one_step_direct,0.012804497726102954
100.0,locked_one_step_direct,0.014584784592550628
100.0,locked_one_step_direct,0.014804713647274322
100.0,locked_one_step_direct,0.015584951439640341
100.0,locked_one_step_direct,0.017279248759450676
100.0,locked_one_step_direct,0.018501782125923835
100.0,locked_one_step_direct,0.02037799116149176
100.0,locked_one_step_direct,0.023095582445857146
100.0,locked_one_step_direct,0.041505242847987144
100.0,locked_one_step_direct,0.048119427048789826
100.0,locked_one_step_direct,0.10359640466314321
100.0,locked_one_step_direct,0.1100323680853738
200.0,locked_one_step_direct,0.0012399123866768315
200.0,locked_one_step_direct,0.0022281539004079553
200.0,locked_one_step_direct,0.0024194656494867088
200.0,locked_one_step_direct,0.002460736001275139
200.0,locked_one_step_direct,0.00271714923725042
200.0,locked_one_step_direct,0.0027871852015070313
200.0,locked_one_step_direct,0.004102152848998536
200.0,locked_one_step_direct,0.004488880358083488
200.0,locked_one_step_direct,0.005578579331735827
200.0,locked_one_step_direct,0.005839446440503175
200.0,locked_one_step_direct,0.006099743403605633
200.0,locked_one_step_direct,0.0074786065021243036
200.0,locked_one_step_direct,0.007826330057102114
200.0,locked_one_step_direct,0.009257891205259014
200.0,locked_one_step_direct,0.010046891455005773
200.0,locked_one_step_direct,0.010326813150613267
200.0,locked_one_step_direct,0.011553336484199109
200.0,locked_one_step_direct,0.01330844425957554
200.0,locked_one_step_direct,0.015416463639655877
200.0,locked_one_step_direct,0.01819923324427365
200.0,locked_one_step_direct,0.030204219994842043
200.0,locked_one_step_direct,0.051309641929118174
200.0,locked_one_step_direct,0.10643325762707112
200.0,locked_one_step_direct,0.110350040414381
50.0,locked_one_step_direct,0.003633491482840402
50.0,locked_one_step_direct,0.0036450921641210253
50.0,locked_one_step_direct,0.004928086142425962
50.0,locked_one_step_direct,0.006194936505092519
50.0,locked_one_step_direct,0.00890989871071742
50.0,locked_one_step_direct,0.009297669378672678
50.0,locked_one_step_direct,0.009817360509367525
50.0,locked_one_step_direct,0.010450331799982934
50.0,locked_one_step_direct,0.010755954615587775
50.0,locked_one_step_direct,0.013536623054764881
50.0,locked_one_step_direct,0.015015653893421636
50.0,locked_one_step_direct,0.01613945955016277
50.0,locked_one_step_direct,0.01705054508285423
50.0,locked_one_step_direct,0.022286440198483224
50.0,locked_one_step_direct,0.022901534917769726
50.0,locked_one_step_direct,0.029123523222961186
50.0,locked_one_step_direct,0.030957401689697538
50.0,locked_one_step_direct,0.0369173598221635
50.0,locked_one_step_direct,0.03977864365989412
50.0,locked_one_step_direct,0.0421384766641421
50.0,locked_one_step_direct,0.046115328282544533
50.0,locked_one_step_direct,0.06631460078507118
50.0,locked_one_step_direct,0.09959788090789996
50.0,locked_one_step_direct,0.11020669220968464
500.0,locked_one_step_direct,0.0004970038151785957
500.0,locked_one_step_direct,0.0008909253006873549
500.0,locked_one_step_direct,0.000985298640237194
500.0,locked_one_step_direct,0.0011243023066339487
500.0,locked_one_step_direct,0.0013778944157255377
500.0,locked_one_step_direct,0.0018165182966122311
500.0,locked_one_step_direct,0.002233270770372136
500.0,locked_one_step_direct,0.00234728629138388
500.0,locked_one_step_direct,0.0025017410333083704
500.0,locked_one_step_direct,0.0030120169899072596
500.0,locked_one_step_direct,0.003139785429425561
500.0,locked_one_step_direct,0.003706086276852539
500.0,locked_one_step_direct,0.004167062644857239
500.0,locked_one_step_direct,0.004606256899482492
500.0,locked_one_step_direct,0.00462396195189075
500.0,locked_one_step_direct,0.006676896218062713
500.0,locked_one_step_direct,0.009783354601168893
500.0,locked_one_step_direct,0.0141591132742431
500.0,locked_one_step_direct,0.014972432686153172
500.0,locked_one_step_direct,0.01885563789695112
500.0,locked_one_step_direct,0.025005511909140975
500.0,locked_one_step_direct,0.05333885562528595
500.0,locked_one_step_direct,0.1084672045029015
500.0,locked_one_step_direct,0.11098472451278853
