run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k31,stop,0.31,0,joint_0,5,0.04999999999999999,0.013294703104593132,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k59,stop,0.59,0,joint_0,-5,-0.050000000000000044,0.011593407643094326,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k87,stop,0.87,0,joint_0,4,0.040000000000000036,0.000863750343574694,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k114,stop,1.1400000000000001,0,joint_0,5,0.050000000000000044,0.01386874919903383,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k142,stop,1.42,0,joint_0,-5,-0.050000000000000044,0.010546358062768827,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k170,stop,1.7,0,joint_0,5,0.050000000000000044,0.0008863099564939289,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k198,stop,1.98,0,joint_0,5,0.04999999999999982,0.014308380906608877,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k225,stop,2.25,0,joint_0,-5,-0.04999999999999982,0.009600689528409288,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k253,stop,2.5300000000000002,0,joint_0,5,0.04999999999999982,0.001090703005735696,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k281,stop,2.81,0,joint_0,5,0.04999999999999982,0.01468920169593164,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k309,stop,3.09,0,joint_0,-5,-0.04999999999999982,0.008809341938557006,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__000,test,8025807354393855772,clean,deployed_p_only,352,1,command_p,stop-j0-k336,stop,3.36,0,joint_0,5,0.04999999999999982,0.0015579978536282679,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__001,test,6456423977188847503,clean,deployed_p_only,311,1,command_p,stop-j0-k36,stop,0.36,0,joint_0,0,0.0,0.02489300278212162,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__001,test,6456423977188847503,clean,deployed_p_only,311,1,command_p,stop-j0-k61,stop,0.61,0,joint_0,-5,-0.050000000000000044,0.016042796241222478,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__001,test,6456423977188847503,clean,deployed_p_only,311,1,command_p,stop-j0-k87,stop,0.87,0,joint_0,0,0.0,0.010317057967022399,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__001,test,6456423977188847503,clean,deployed_p_only,311,1,command_p,stop-j0-k112,stop,1.12,0,joint_0,0,0.0,0.025350973342823935,0.1,0.1,0.05
paper-evidence-v3-locked-test::deployed_p_only,synthetic-feasible-v3,synthetic,rapid_reversal__v3__test__001,test,6456423977188847503,clean,deployed_p_only,311,1,command_p,stop-j0-k137,stop,1.37,0,joint_0,-5,-0.050000000000000044,0.012913441265087198,0.1,0.1,0.05
