method,total_compute_us
deployed_p_only,1006.291
deployed_p_only,1025.292
deployed_p_only,1043.459
deployed_p_only,1067.375
deployed_p_only,1086.042
deployed_p_only,1199.5
deployed_p_only,1286.292
deployed_p_only,2050.709
deployed_p_only,2149.708
deployed_p_only,2477.542
deployed_p_only,812.167
deployed_p_only,812.75
deployed_p_only,846.083
deployed_p_only,846.083
deployed_p_only,846.917
deployed_p_only,847.334
deployed_p_only,847.625
deployed_p_only,847.958
deployed_p_only,848.041
deployed_p_only,848.042
deployed_p_only,848.167
deployed_p_only,848.25
deployed_p_only,848.417
deployed_p_only,848.458
deployed_p_only,848.5
deployed_p_only,848.625
deployed_p_only,848.833
deployed_p_only,848.875
deployed_p_only,849.084
deployed_p_only,849.167
deployed_p_only,849.25
deployed_p_only,849.292
deployed_p_only,849.375
deployed_p_only,849.459
deployed_p_only,849.5
deployed_p_only,849.583
deployed_p_only,849.583
deployed_p_only,849.625
deployed_p_only,849.666
deployed_p_only,849.708
deployed_p_only,849.708
deployed_p_only,849.75
deployed_p_only,849.75
deployed_p_only,849.75
deployed_p_only,849.791
deployed_p_only,849.792
deployed_p_only,849.792
deployed_p_only,849.917
deployed_p_only,849.917
deployed_p_only,849.959
deployed_p_only,850.0
deployed_p_only,850.041
deployed_p_only,850.042
deployed_p_only,850.083
deployed_p_only,850.083
deployed_p_only,850.084
deployed_p_only,850.125
deployed_p_only,850.125
deployed_p_only,850.167
deployed_p_only,850.333
deployed_p_only,850.375
deployed_p_only,850.375
deployed_p_only,850.375
deployed_p_only,850.458
deployed_p_only,850.459
deployed_p_only,850.5
deployed_p_only,850.5
deployed_p_only,850.542
deployed_p_only,850.584
deployed_p_only,850.625
deployed_p_only,850.625
deployed_p_only,850.666
deployed_p_only,850.666
deployed_p_only,850.667
deployed_p_only,850.708
deployed_p_only,850.708
deployed_p_only,850.833
deployed_p_only,850.917
deployed_p_only,850.917
deployed_p_only,851.0
deployed_p_only,851.041
deployed_p_only,851.125
deployed_p_only,851.125
deployed_p_only,851.167
deployed_p_only,851.167
deployed_p_only,851.208
deployed_p_only,851.209
deployed_p_only,851.25
deployed_p_only,851.25
deployed_p_only,851.25
deployed_p_only,851.291
deployed_p_only,851.291
deployed_p_only,851.292
deployed_p_only,851.333
deployed_p_only,851.333
deployed_p_only,851.333
deployed_p_only,851.375
deployed_p_only,851.375
deployed_p_only,851.375
deployed_p_only,851.375
deployed_p_only,851.375
deployed_p_only,851.458
deployed_p_only,851.458
deployed_p_only,851.458
deployed_p_only,851.5
deployed_p_only,851.541
deployed_p_only,851.542
deployed_p_only,851.583
deployed_p_only,851.583
deployed_p_only,851.584
deployed_p_only,851.625
deployed_p_only,851.625
deployed_p_only,851.625
deployed_p_only,851.666
deployed_p_only,851.667
deployed_p_only,851.667
deployed_p_only,851.667
deployed_p_only,851.75
deployed_p_only,851.75
deployed_p_only,851.75
deployed_p_only,851.75
deployed_p_only,851.75
deployed_p_only,851.791
deployed_p_only,851.791
deployed_p_only,851.792
deployed_p_only,851.792
deployed_p_only,851.833
deployed_p_only,851.833
deployed_p_only,851.875
deployed_p_only,851.875
deployed_p_only,851.875
deployed_p_only,851.875
deployed_p_only,851.875
deployed_p_only,851.917
deployed_p_only,851.958
deployed_p_only,851.959
deployed_p_only,852.0
deployed_p_only,852.0
deployed_p_only,852.042
deployed_p_only,852.042
deployed_p_only,852.042
deployed_p_only,852.042
deployed_p_only,852.042
deployed_p_only,852.042
deployed_p_only,852.083
deployed_p_only,852.084
deployed_p_only,852.125
deployed_p_only,852.125
deployed_p_only,852.125
deployed_p_only,852.125
deployed_p_only,852.166
deployed_p_only,852.167
deployed_p_only,852.167
deployed_p_only,852.167
deployed_p_only,852.208
deployed_p_only,852.209
deployed_p_only,852.25
deployed_p_only,852.25
deployed_p_only,852.25
deployed_p_only,852.333
deployed_p_only,852.333
deployed_p_only,852.334
deployed_p_only,852.334
deployed_p_only,852.334
deployed_p_only,852.375
deployed_p_only,852.375
deployed_p_only,852.416
deployed_p_only,852.417
deployed_p_only,852.458
deployed_p_only,852.459
deployed_p_only,852.459
deployed_p_only,852.459
deployed_p_only,852.5
deployed_p_only,852.541
deployed_p_only,852.541
deployed_p_only,852.541
deployed_p_only,852.541
deployed_p_only,852.542
deployed_p_only,852.583
deployed_p_only,852.584
deployed_p_only,852.625
deployed_p_only,852.625
deployed_p_only,852.667
deployed_p_only,852.667
deployed_p_only,852.667
deployed_p_only,852.667
deployed_p_only,852.708
deployed_p_only,852.709
deployed_p_only,852.709
deployed_p_only,852.75
deployed_p_only,852.75
deployed_p_only,852.75
deployed_p_only,852.75
deployed_p_only,852.75
deployed_p_only,852.791
deployed_p_only,852.792
deployed_p_only,852.792
deployed_p_only,852.833
deployed_p_only,852.833
deployed_p_only,852.833
deployed_p_only,852.833
deployed_p_only,852.834
deployed_p_only,852.875
deployed_p_only,852.875
deployed_p_only,852.916
deployed_p_only,852.917
deployed_p_only,852.917
deployed_p_only,852.917
deployed_p_only,852.958
deployed_p_only,852.958
deployed_p_only,853.0
deployed_p_only,853.0
deployed_p_only,853.0
deployed_p_only,853.0
deployed_p_only,853.0
deployed_p_only,853.041
deployed_p_only,853.041
deployed_p_only,853.041
deployed_p_only,853.042
deployed_p_only,853.042
deployed_p_only,853.042
deployed_p_only,853.042
deployed_p_only,853.083
deployed_p_only,853.083
deployed_p_only,853.083
deployed_p_only,853.083
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.125
deployed_p_only,853.166
deployed_p_only,853.166
deployed_p_only,853.166
deployed_p_only,853.167
deployed_p_only,853.167
deployed_p_only,853.167
deployed_p_only,853.167
deployed_p_only,853.167
deployed_p_only,853.208
deployed_p_only,853.25
deployed_p_only,853.25
deployed_p_only,853.291
deployed_p_only,853.292
deployed_p_only,853.333
deployed_p_only,853.333
deployed_p_only,853.375
deployed_p_only,853.375
deployed_p_only,853.375
deployed_p_only,853.375
deployed_p_only,853.417
deployed_p_only,853.417
deployed_p_only,853.417
deployed_p_only,853.458
