trajectory_id,follower,position_rmse
piecewise_constant_jerk__v3__test__015,ruckig,0.021208386871429463
piecewise_constant_jerk__v3__test__016,direct,0.005439230702544736
piecewise_constant_jerk__v3__test__016,ruckig,0.005439230702480642
piecewise_constant_jerk__v3__test__017,direct,0.012309961524576234
piecewise_constant_jerk__v3__test__017,ruckig,0.012309961497682865
piecewise_constant_jerk__v3__test__018,direct,0.01806614446579472
piecewise_constant_jerk__v3__test__018,ruckig,0.018066144469015975
piecewise_constant_jerk__v3__test__019,direct,0.025249935777200378
piecewise_constant_jerk__v3__test__019,ruckig,0.02524993577720042
rapid_reversal__v3__test__000,direct,0.002564246596545035
rapid_reversal__v3__test__000,ruckig,0.002564247102234896
rapid_reversal__v3__test__001,direct,0.048119427048789826
rapid_reversal__v3__test__001,ruckig,0.04811942530877375
rapid_reversal__v3__test__002,direct,0.005247031430342242
rapid_reversal__v3__test__002,ruckig,0.005247031473048551
rapid_reversal__v3__test__003,direct,0.1100323680853738
rapid_reversal__v3__test__003,ruckig,0.11003236873694217
rapid_reversal__v3__test__004,direct,0.004552514982615744
rapid_reversal__v3__test__004,ruckig,0.004552514971831993
rapid_reversal__v3__test__005,direct,0.005439759535165613
rapid_reversal__v3__test__005,ruckig,0.005439759550705872
rapid_reversal__v3__test__006,direct,0.010805004723198631
rapid_reversal__v3__test__006,ruckig,0.010805004775405826
rapid_reversal__v3__test__007,direct,0.02735134017565042
rapid_reversal__v3__test__007,ruckig,0.027351340321151697
rapid_reversal__v3__test__008,direct,0.022470717695738482
rapid_reversal__v3__test__008,ruckig,0.022470718092981182
rapid_reversal__v3__test__009,direct,0.04591640518075735
rapid_reversal__v3__test__009,ruckig,0.04591640498367227
rapid_reversal__v3__test__010,direct,0.027915136657231266
rapid_reversal__v3__test__010,ruckig,0.027915136609751798
rapid_reversal__v3__test__011,direct,0.03742273783523161
rapid_reversal__v3__test__011,ruckig,0.03742273732402506
rapid_reversal__v3__test__012,direct,0.003294042908263064
rapid_reversal__v3__test__012,ruckig,0.0032940429010181183
rapid_reversal__v3__test__013,direct,0.009191480024448313
rapid_reversal__v3__test__013,ruckig,0.0091914800244483
rapid_reversal__v3__test__014,direct,0.05363764280421188
