r_j,r_a,pva_vs_pv_rmse_improvement
0.2,0.2,-151.02422575789743
0.2,0.5,-25.1137687462104
0.2,0.75,-18.05933456742088
0.2,0.93,-14.317599142730492
0.5,0.2,-2678.122757789585
0.5,0.5,-151.02860836494082
0.5,0.75,-57.785516060304666
0.5,0.93,-36.885633441226105
0.75,0.2,-5931.53721863645
0.75,0.5,-522.6764552267072
0.75,0.75,-151.0251131980258
0.75,0.93,-92.61704976516037
0.93,0.2,-4552.08746794483
0.93,0.5,-1601.2486907557418
0.93,0.75,-831.5645815752035
0.93,0.93,-150.9515341037208
