comparison_id,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high
lag:one_step_pva-vs-predicted_p,-0.4006054490413722,-3.605403447223895,0.2722061138959274
max_error:one_step_pva-vs-predicted_p,0.795936098289093,0.7143045105957672,0.8676529567814985
position:jerk_qp_direct-vs-jerk_qp_ruckig,-4.183483849588424e-09,-1.0522269699815496e-08,1.235559799636387e-09
position:jerk_qp_direct-vs-one_step_direct,0.173465246438923,0.02851755464921703,0.2787083902613261
position:one_step_direct-vs-one_step_ruckig,-9.669677042802142e-11,-3.2459819282294374e-09,2.591487442668141e-09
position:one_step_pva-vs-deployed_p_only,0.7735760034705845,0.7014875827729277,0.8447464811682436
position:one_step_pva-vs-raw_predicted_pv,0.7715261450075482,0.6974927524896275,0.8412807802498754
primary_position:one_step_pva-vs-predicted_p,0.7737753022695921,0.6996349531461117,0.8443749153621228
