sample_index,time_s,position_rad,velocity_rad_s,acceleration_rad_s2,jerk_rad_s3
0,0,1.125,-0,0,0
1,0.01,1.1249999807106796,-7.7002589051788553e-06,-0.0023023516329213293,-0.45738507120598315
2,0.02,1.1249996938390858,-6.098604733939439e-05,-0.0090865100982168608,-0.89641257125497265
3,0.029999999999999999,1.1249984624864253,-0.00020376265076081662,-0.020170425763716374,-1.317386619788131
4,0.040000000000000001,1.1249951797531401,-0.00047812994391411179,-0.035375053030086964,-1.7206034902401972
5,0.050000000000000003,1.124988326644222,-0.00092441199923454242,-0.054524260156445938,-2.1063493356227561
6,0.059999999999999998,1.1249759896833114,-0.0015811856864992068,-0.077444718342135746,-2.4748983091040042
7,0.070000000000000007,1.1249558782466451,-0.0024853080755450428,-0.10396577386858903,-2.8265110507809741
8,0.080000000000000002,1.1249253416296061,-0.0036719424905024972,-0.1339193068252196,-3.1614335132446412
9,0.089999999999999997,1.1248813858599791,-0.0051745830978828398,-0.1671395796751714,-3.4798960997114778
10,0.10000000000000001,1.1248206902730256,-0.0070250779421232442,-0.20346307866023056,-3.782113089637329
11,0.11,1.1247396238642193,-0.0092536503709512823,-0.24272835079894758,-4.0682823278413895
12,0.12,1.124634261435921,-0.011888918819290455,-0.28477583899773118,-4.3385851542500911
13,0.13,1.1245003995544569,-0.014957914944499242,-0.32944771757106028,-4.5931865524232895
14,0.14000000000000001,1.1243335723340391,-0.0184861001276228,-0.37658773025372388,-4.8322354960487424
15,0.14999999999999999,1.1241290670637072,-0.022497380375141599,-0.42604103258486314,-5.0558654735859383
16,0.16,1.123881939693036,-0.027014119673524389,-0.47765404035025172,-5.264195172207395
17,0.17000000000000001,1.1235870301917592,-0.0320571518648302,-0.53127428558545642,-5.4573293031249319
18,0.17999999999999999,1.1232389777976912,-0.037645791125750512,-0.58675028146798069,-5.6353595513006818
19,0.19,1.1228322361664524,-0.0437978411449284,-0.64393139726093296,-5.7983656334281832
20,0.20000000000000001,1.1223610884354929,-0.050529603104225385,-0.70266774431394186,-5.946416448928133
21,0.20999999999999999,1.1218196622138095,-0.057855882578915878,-0.76281007397867018,-6.0795713095368171
22,0.22,1.1212019445075536,-0.065789995479654181,-0.82420968815612239,-6.1978812338733551
23,0.23000000000000001,1.1205017965904804,-0.07434377316556405,-0.88671836306073426,-6.3013902941549125
24,0.23999999999999999,1.1197129688268461,-0.083527566863021555,-0.95018828666174937,-6.3901370029875979
25,0.25,1.1188291154530161,-0.093350251528716552,-1.0144720101453364,-6.4641557288953013
26,0.26000000000000001,1.1178438093226326,-0.10381922929845594,-1.0794224136311199,-6.5234781299593951
27,0.27000000000000002,1.1167505566187694,-0.11494043266499082,-1.1448926862739626,-6.5681345956297852
28,0.28000000000000003,1.115542811535059,-0.12671832752897086,-1.210736320785804,-6.5981556874324951
29,0.28999999999999998,1.1142139909263507,-0.13915591626702528,-1.2768071223228237,-6.6135735699411606
30,0.29999999999999999,1.1127574889280001,-0.15225474096,-1.3429592315999999,-6.6144234240000017
31,0.31,1.1111666915414891,-0.16601488692261199,-1.4090471620180249,-6.600744834784563
32,0.32000000000000001,1.1094349911826615,-0.18043498667327004,-1.4749258505162932,-6.5725831478637415
33,0.33000000000000002,1.107555801187494,-0.19551222447961555,-1.5404507218001222,-6.5299907869833378
34,0.34000000000000002,1.1055225702689813,-0.21124234161151431,-1.6054777655302761,-6.4730285278274451
35,0.35000000000000003,1.1033287969174239,-0.22761964242883032,-1.6698636260079869,-6.4017667225302262
36,0.35999999999999999,1.1009680437351499,-0.24463700142639616,-1.7334657038389418,-6.3162864702070163
37,0.37,1.0984339516955104,-0.26228587135319514,-1.7961422690147582,-6.2166807292511113
38,0.38,1.0957202543148503,-0.28055629251695402,-1.8577525848102534,-6.1030553676009536
39,0.39000000000000001,1.0928207917250612,-0.2994369033791453,-1.918157041859079,-5.9755301476223135
40,0.40000000000000002,1.0897295246333216,-0.31891495253886332,-1.9772173017388603,-5.8342396426719958
41,0.41000000000000003,1.0864405481546702,-0.33897631219720842,-2.0347964493696766,-5.6793340828136971
42,0.41999999999999998,1.0829481055021737,-0.35960549318673246,-2.090759153506375,-5.5109801275433341
43,0.42999999999999999,1.0792466015186539,-0.38078566164320726,-2.1449718345856503,-5.3293615637510072
44,0.44,1.0753306160331908,-0.40249865738949359,-2.1973028391728682,-5.1346799274998682
45,0.45000000000000001,1.0711949170249611,-0.42472501409368646,-2.2476226202411138,-4.9271550485390643
46,0.46000000000000002,1.0668344735763975,-0.44744398125597784,-2.2958039225057352,-4.7070255167888515
47,0.47000000000000003,1.0622444685971373,-0.47063354807088081,-2.3417219720315812,-4.4745490703415483
48,0.47999999999999998,1.0574203112998046,-0.49427046920361789,-2.3852546693269985,-4.2300029048120056
49,0.48999999999999999,1.05235764940833,-0.51833029251160578,-2.4262827851384561,-3.973683904146768
50,0.5,1.047052381079226,-0.5427873887341208,-2.4646901581619605,-3.7059087932620907
51,0.51000000000000001,1.0415006665160609,-0.56761498316541703,-2.5003638938924837,-3.4270142131273444
52,0.52000000000000002,1.0356989392572484,-0.59278518931880786,-2.5331945638398961,-3.1373567191435381
53,0.53000000000000003,1.0296439171172398,-0.61826904458156284,-2.5630764043495251,-2.8373127038858774
54,0.54000000000000004,1.0233326127612425,-0.64403654785290154,-2.589907514277189,-2.5272782454855629
55,0.55000000000000004,1.0167623438937008,-0.67005669914993304,-2.613590050782288,-2.2076688831193878
56,0.56000000000000005,1.0099307430409714,-0.69629754115911036,-2.6340304225181281,-1.8789193212565691
57,0.57000000000000006,1.0028357669088745,-0.72272620270363286,-2.6511394795160141,-1.5414830644808477
58,0.57999999999999996,0.99547570529614182,-0.74930894409029725,-2.6648326990785982,-1.1958319848629717
59,0.58999999999999997,0.98784918954517553,-0.77601120429255577,-2.6750303670184996,-0.84245582400342922
60,0.59999999999999998,0.97995520051200014,-0.80279764992000024,-2.6816577535999997,-0.48186163200000376
61,0.60999999999999999,0.97179307603781906,-0.82963222591818586,-2.6846452835649606,-0.1145731457169834
62,0.62,0.96336251790517879,-0.8564782079366563,-2.6839286996482046,0.25886989115387493
63,0.63,0.95466359826238978,-0.88329825629717684,-2.6794492190132733,0.63791246364910759
64,0.64000000000000001,0.94569676550057047,-0.91005447148866325,-2.6711536820656581,1.0219850740219503
65,0.65000000000000002,0.93646284956843517,-0.93670845110996248,-2.6589946931279993,1.4105045803971277
66,0.66000000000000003,0.92696306671075968,-0.96322134817665794,-2.6429307524897041,1.8028750827530033
67,0.67000000000000004,0.9171990236173283,-0.9895539307033191,-2.6229263793721578,2.1984888533279991
68,0.68000000000000005,0.90717272097006552,-1.0156666424681704,-2.5989522253800921,2.5967273084934477
69,0.69000000000000006,0.89688655637701409,-1.0415196648630425,-2.5709851780393422,2.9969620190889419
70,0.70000000000000007,0.88634332668280247,-1.0670729797275664,-2.5390084540516513,3.3985557561779181
71,0.70999999999999996,0.87554622964628936,-1.0922864330630822,-2.5030116819275667,3.8008635691512418
72,0.71999999999999997,0.86449886497711148,-1.1171197995184738,-2.4629909736894762,4.2032338930850246
73,0.72999999999999998,0.85320523472397947,-1.1415328475372104,-2.4189489853677126,4.6050096822429039
74,0.73999999999999999,0.84166974300866571,-1.1654854050522836,-2.3708949660439473,5.0055295666070485
75,0.75,0.8298971951007843,-1.1889374256134033,-2.3188447952270508,5.4041290283203125
76,0.76000000000000001,0.81789279582962637,-1.2118490548288379,-2.26282100837801,5.80014159492901
77,0.77000000000000002,0.80566214733050345,-1.2341806970026017,-2.202852810431283,6.1929000463278738
78,0.78000000000000003,0.79321124612424043,-1.255893081846317,-2.1389760771910611,6.5817376323280596
79,0.79000000000000004,0.78054647952968637,-1.2769473311440229,-2.0712333445114561,6.9659892977930857
80,0.80000000000000004,0.76767462141032095,-1.2973050252474387,-1.9996737852001221,7.3449929123190989
81,0.81000000000000005,0.75460282725726924,-1.3169282692787456,-1.9243531736148012,7.7180905014707397
82,0.82000000000000006,0.74133862861226296,-1.3357797589177773,-1.8453338379520494,8.0846294766255618
83,0.83000000000000007,0.72788992683532172,-1.3538228456506689,-1.7626846002565755,8.443963860526198
84,0.83999999999999997,0.71426498622314905,-1.3710216013574312,-1.6764807042084033,8.7954555056898123
85,0.84999999999999998,0.70047242648546726,-1.3873408821166207,-1.5868037307733467,9.1384753028801615
86,0.85999999999999999,0.68652121458772708,-1.4027463911063081,-1.4937415018298592,9.4724043769072637
87,0.87,0.67242065596981804,-1.4172047404817434,-1.397387971912422,9.7966352670830723
88,0.88,0.65818038515161659,-1.430683512111752,-1.2978431082379385,10.110573089729499
89,0.89000000000000001,0.6438103557373609,-1.4431513170575723,-1.1952127592074115,10.413636680206158
90,0.90000000000000002,0.62932082983199988,-1.4545778536799991,-1.0896085116000027,10.705259712
91,0.91000000000000003,0.61472236688379878,-1.4649339642629231,-0.98114753670080623,10.984891790496501
92,0.92000000000000004,0.60002581196858118,-1.4741916900438954,-0.8699524256271729,11.251999519133383
93,0.93000000000000005,0.58524228353207985,-1.4823243245451545,-0.75615101414083319,11.506067535721215
94,0.94000000000000006,0.57038316060790284,-1.4893064651014776,-0.63987619725481837,11.746599516801384
95,0.95000000000000007,0.55546006952966243,-1.4951140624844299,-0.52126573396529441,11.973119148001027
96,0.95999999999999996,0.54048487015678015,-1.4997244685260258,-0.40046204245788086,12.185171058434838
97,0.96999999999999997,0.52546964163445153,-1.5031164816483329,-0.27761198615761318,12.382321717296723
98,0.97999999999999998,0.51042666770916112,-1.5052703902094191,-0.1528666510093255,12.564160290879244
99,0.98999999999999999,0.49536842162201256,-1.5061680135799251,-0.02638111439273505,12.730299458354834
