experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,4000.0,4.1,8.2,4000.0,10.0,0.07566657258695543,0.05746611373892105,0.13463920767108212,80.0,0.015055782371034486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.47324052422361,178.8967171054966,182.3329418796324,0.06711409395973154,1.4060410459905723,8.2,4000.0,1185.239603940145,0.0,0.6174496644295302,0.31543624161073824,1.45803,1.5,0.0,4.440892098500626e-16,4.440892098500626e-16
limit_sensitivity,quadratic_with_extremum,p,P,core,p,none,True,0,0,target[k] -> output[k+1],3,301,jerk,8000.0,4.1,8.2,8000.0,10.0,0.07483121521084357,0.056768472609046494,0.13324209741243032,80.0,0.014952189874150546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0365747960897,177.38263195160633,180.81962078505947,0.07718120805369127,1.3978576621614545,8.2,8000.0,839.0106854842692,0.0,0.9093959731543624,0.013422818791946308,1.458,1.5,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,4.1,4.1,4.1,4000.0,10.0,0.2284687193843903,0.1293913658009283,0.5621253334002939,180.0,0.16749074111440757,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,58.53611360676102,401.45056754575967,725.8185906669471,0.4395973154362416,2.0416623082736134,4.1,4000.0,819.9999999999999,0.0,0.5536912751677853,0.006711409395973154,1.883759999999992,4.292,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,6.0,4.1,6.0,4000.0,10.0,0.00927531757684143,0.007550334543084171,0.015060871019032418,10.0,1.1330434043175523e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.506168013579929,5.6066262743570405e-15,0.0,9.159339953157541e-13,0.0,0.0,0.0,2.126259999999999,2.375,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,8.2,4.1,8.2,4000.0,10.0,0.00927531757684144,0.00755033454308418,0.015060871019032473,10.0,1.0574775945046951e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.5061680135799291,7.216449660063518e-16,0.0,1.0547118733938987e-13,0.0,0.0,0.0,1.41603,1.542,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,12.0,4.1,12.0,4000.0,10.0,0.009275317576841436,0.007550334543084178,0.015060871019032418,10.0,1.0647929307187734e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.506168013579929,8.604228440844963e-16,0.0,1.5404344466674047e-13,0.0,0.0,0.0,1.418229999999999,1.459,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,acceleration,16.4,4.1,16.4,4000.0,10.0,0.009275317576841436,0.00755033454308418,0.015060871019032418,10.0,1.0650288929347154e-16,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,10.0,10.0,10.0,1.0,1.506168013579929,8.743006318923108e-16,0.0,1.6930901125533637e-13,0.0,0.0,0.0,1.58303,1.75,0.0,7.105427357601002e-15,7.105427357601002e-15
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,41.0,4.1,8.2,41.0,10.0,0.2341646110965878,0.17614726732193095,0.49405393369554634,240.0,0.07218528943410536,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,195.70945483960094,388.5289785400452,537.9552637514536,0.026845637583892617,1.9241000691253436,8.2,41.0,41.000000000000014,0.0,0.016778523489932886,0.9563758389261745,1.2177299999999922,2.75,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,200.0,4.1,8.2,200.0,10.0,0.0357327727682423,0.02876063060963658,0.06938447466545261,40.0,0.013203198015406845,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,32.911952781187594,67.32722835848229,158.65244655511287,0.07046979865771812,1.5444324991514935,8.2,200.0,200.00000000000009,0.0,0.026845637583892617,0.9026845637583892,1.876259999999999,2.084,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,pv_truth,PV · analytic truth,core,pv,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,800.0,4.1,8.2,800.0,10.0,0.04057479312761137,0.02746864507708046,0.11706840273835618,40.0,0.022754094494619608,1.0,0.0,0.0,0.0,1.5061680135799291,0.0,0.0,1.5061680135799291,0.0,20.020933259213447,88.86570642175795,169.45668168394866,0.18120805369127516,1.7952647304345173,8.2,800.0,800.0,0.0,0.14093959731543623,0.6778523489932886,2.084,2.583,0.0,3.597122599785507e-14,3.597122599785507e-14
