experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
oracle_sanity_control,quadratic_with_extremum,oracle_next_cycle,PVA · next-cycle analytic oracle,sanity_control,pva,analytic_truth,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,4.478563363489276e-16,7.64704002822448e-17,7.549516567451064e-15,0.0,4.478563363489276e-16,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,1.0,1.375,0.0,7.549516567451064e-15,7.549516567451064e-15
oracle_sanity_control,cubic,oracle_next_cycle,PVA · next-cycle analytic oracle,sanity_control,pva,analytic_truth,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,6.115772274568255e-11,3.5461884537497747e-12,1.0557457408300053e-09,0.0,6.115772274568255e-11,1.0,0.0,0.0,0.0,0.5917300704286925,1.4712067651963803,7.5332719845435125,0.5917300704286925,1.4712067651963803,10.0,10.0,10.0,1.0,0.5917300704286925,1.4712067651963798,0.0,7.533271984543517,0.0,0.0,0.0,0.9604899999999977,1.042,0.0,2.220446049250313e-15,2.220446049250313e-15
oracle_sanity_control,sine,oracle_next_cycle,PVA · next-cycle analytic oracle,sanity_control,pva,analytic_truth,False,1,0,target[k] -> output[k+1],3,301,none,nan,4.1,8.2,4000.0,10.0,2.6784562716995654e-14,1.5701006920313e-15,4.623686125093956e-13,0.0,2.6784562716995654e-14,1.0,0.0,0.0,0.0,1.6951510359994926,6.364585446404775,40.073043946224686,1.6951510359994926,6.364585446404775,10.0,10.0,10.0,1.0,1.6951510359994924,6.364585446404775,0.0,40.073043946224665,0.0,0.0,0.0,1.001229999999999,1.334,0.0,2.0404130898591597e-15,2.0404130898591597e-15
