dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us,estimator_family,duration_mode,prediction_position_rmse,prediction_position_mae,prediction_position_max_error
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.045585371420942655,0.019148106519031614,0.2585676631671576,40.0,0.04205195113699495,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,50.0,254.80953280155043,532.1846181856369,874.0692342671125,0.6728682170542636,2.3267945382629818,8.2,1639.9999999999998,12.0,36.98865999999975,2.375,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,full,0.05630268805720262,0.029109822494898328,0.26312364192552096,40.0,0.053885124710113586,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,53.27753517147755,279.51307283812,630.1600192050532,1041.569845421528,0.48578811369509045,2.6236978615758044,8.200000000000001,1639.9999999999998,12.0,22.201999999999856,2.361059999999994,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,position_only,0.030393320106364318,0.0128774432915273,0.20593403119013867,40.0,0.025763341914636008,0.0,0.0,0.0,0.0,50.0,170.88685032739738,328.2153732852246,391.5354875697075,0.5224806201550387,1.7007978744424235,8.2,1639.9999999999998,12.208,79.4911599999998,9.984719999999957,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,position_only,0.03039585533727828,0.013386022742053501,0.20613809727381432,40.0,0.026078337289386907,0.0,0.0,0.0,0.0,46.34033661983686,170.04226092167497,328.8149365863812,392.13505087086406,0.5317829457364341,1.6927130334380571,8.2,1639.9999999999998,12.084,43.33249999999998,2.569059999999994,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,full,0.04396066257041013,0.018278741573406157,0.25884471325169456,30.0,0.04128718371826688,0.04871194379391101,2.234002182344122,8.199999918,263.9735701124864,60.0,249.1593972958469,518.7222603812256,877.1846486799083,0.7018087855297158,2.2239320860618506,8.200000000000001,1639.9999999999998,12.125,37.458,2.346779999999988,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,full,0.06273918477155456,0.03419336446102084,0.2883621312157514,40.0,0.06005425624456669,0.04871194379391101,2.234002182344122,8.199999918,263.9735701124864,62.7849009053951,294.2933507085804,658.0781913174095,1074.299783518611,0.49147286821705427,2.754365509863362,8.200000000000001,1639.9999999999998,12.25,46.41165999999989,2.41666,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,position_only,0.02922668196771375,0.012723044474173157,0.20113322088885957,30.0,0.026427438796549355,0.0,0.0,0.0,0.0,60.0,187.5781943828199,329.8399007118852,413.6366185958395,0.5612403100775194,1.7176830488872008,8.200000000000001,1639.9999999999998,12.167,76.0,8.511279999999934,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,position_only,0.028663007454220794,0.013375001066786893,0.19932044342036223,30.0,0.0261879883591952,0.0,0.0,0.0,0.0,52.725017813521205,182.63485773044198,323.5471633798459,407.34388126380014,0.5472868217054263,1.698784774402668,8.2,1639.9999999999998,12.125,35.49949999999998,2.125,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,100.0,full,0.04446088028333957,0.019591066947258817,0.2533434340838583,30.0,0.042112279309118074,0.04871194379391101,2.562002179064122,8.199999918,263.9735701124864,100.0,239.24978265941863,410.2992624363915,764.1595387775727,0.758656330749354,2.18138436396168,8.2,1639.9999999999998,12.208,48.26177999999995,2.3744999999999816,CA-KF,matched,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,10.0,full,0.0851236867083298,0.047705952535015486,0.42184363221572474,20.0,0.08473372557401565,0.04871194379391101,2.562002179064122,8.199999918,263.9735701124864,97.23146837597028,338.744748869241,673.3692927025581,1055.8046668783845,0.510594315245478,2.839174857011509,8.200000000000001,1639.9999999999998,12.0,16.41615999999998,1.833,CA-KF,control_cycle,0.03282852791685063,0.019872635389391307,0.18367762584038586
