method_id,source_sample_count,source_dt_min_s,source_dt_max_s,held_control_cycle_fraction,completed,failure_layer,failure_reason,valid_cycles,total_cycles,rest_to_rest_pulse_fraction,stop_go_event_rate_hz,endpoint_stop_fraction,profile_peak_velocity_to_reference_median,profile_velocity_ripple_to_reference_median,profile_velocity_ripple_to_reference_p95,profile_min_abs_velocity_to_reference_p05,profile_near_zero_cycle_fraction,position_rmse,lag_s,profile_exact_fraction,profile_constraint_violation_count,fallback_rate,solver_failure_count,deadline_miss_rate,analysis_failure
p_scheduled,7673,0.0089796100000008039,0.011085502999996777,0,true,,,7672,7672,,,,,,,,,0.0029509964941324685,0.019999999999999574,1,0,0,0,0,
pv_future_o1_deadband,7673,0.0089796100000008039,0.011085502999996777,0,false,predictor,PredictorError: future_backward_fd_o1 supports exactly one nominal step; got horizon=0.011020389999999197,1,7672,,,,,,,,,,,,,,,,ValueError: evaluation window 'main_evaluation' has no samples
pv_local_poly,7673,0.0089796100000008039,0.011085502999996777,0,true,,,7672,7672,,,,,,,,,0.0033076102884311964,0.019999999999999574,1,0,0,0,0,
