trajectory_id,trajectory_family,method_id,completed_pair,baseline_ripple,candidate_ripple,ripple_reduction,baseline_position_rmse_rad,candidate_position_rmse_rad,rmse_excess_rad,guardrails,passed
holdout_constant_0,constant,pv_local_poly,true,1.3769539780455828,8.28676870614983e-15,0.999999999999994,1.1579612453344869e-18,2.8956886717108799e-17,2.7798925471774313e-17,true,true
holdout_constant_1,constant,pv_local_poly,true,1.9999999999998128,6.8501417547966453e-15,0.99999999999999656,2.4647350313109512e-18,2.1224129364333986e-17,1.8759394333023035e-17,true,true
holdout_constant_2,constant,pv_local_poly,true,1.7825409113128607,6.6072118681272426e-15,0.99999999999999634,2.7486124983464711e-18,9.1567118995645286e-17,8.8818506497298814e-17,true,true
holdout_constant_3,constant,pv_local_poly,true,1.8865607063033627,8.2695404967815356e-15,0.99999999999999567,7.3377093883653311e-06,1.2318134122672588e-16,-7.3377093882421496e-06,true,true
holdout_ramp_0,ramp,pv_local_poly,true,1.8394059660041346,0.0039215686274702132,0.99786802440573286,4.6716087475754784e-06,1.3306324572036615e-18,-4.6716087475741477e-06,true,true
holdout_ramp_1,ramp,pv_local_poly,true,1.8479071569541803,0.0033138401559405428,0.99820670635780073,3.9338178297032878e-06,1.5252829168642816e-18,-3.9338178297017623e-06,true,true
holdout_ramp_2,ramp,pv_local_poly,true,1.8372479139982536,0.0027131782945299301,0.99852323778742225,3.2149912785772996e-06,1.2152634804585424e-12,-3.2149900633138191e-06,true,true
holdout_ramp_3,ramp,pv_local_poly,true,1.8134788174865766,0.0021194605017874355,0.99883127363752455,2.4123620189166621e-06,7.5226565677653267e-13,-2.4123612666510052e-06,true,true
holdout_sine_0,sine,pv_local_poly,true,1.8120154266383701,0.0081556625391101204,0.99549912080260794,6.3814787110825732e-06,3.5637255400893314e-13,-6.3814783547100193e-06,true,true
holdout_sine_1,sine,pv_local_poly,true,1.8119871411689039,0.0096691573710895352,0.99466378256699328,6.9564358658333694e-06,3.1339214852672774e-13,-6.9564355524412205e-06,true,true
holdout_sine_2,sine,pv_local_poly,true,1.8263129813143304,0.012006803825382372,0.99342565926638626,6.8494536177446504e-06,2.9254195037749102e-13,-6.8494533252027003e-06,true,true
holdout_sine_3,sine,pv_local_poly,true,1.8331762092807591,0.014870752288791729,0.99188798533741274,5.7079979016857614e-06,2.086369537622646e-13,-5.707997693048808e-06,true,true
holdout_chirp_0,chirp,pv_local_poly,true,1.8137981267476264,0.0093833346429472771,0.99482669294637938,6.9437109163951962e-06,2.374302513683947e-13,-6.9437106789649451e-06,true,true
holdout_chirp_1,chirp,pv_local_poly,true,1.803011115406173,0.0096447920470526007,0.99465073067789722,7.8649048337205802e-06,4.0838284000275828e-13,-7.864904425337741e-06,true,true
holdout_chirp_2,chirp,pv_local_poly,true,1.7683172619835124,0.010735141975614707,0.99392917650785517,8.0800936113489231e-06,4.9107674845668465e-13,-8.0800931202721749e-06,true,true
holdout_chirp_3,chirp,pv_local_poly,true,1.8034521852012588,0.012938018392190704,0.99282597093598746,7.5270867404223951e-06,2.5761230460502571e-13,-7.5270864828100907e-06,true,true
holdout_reversal_0,reversal,pv_local_poly,true,1.9218566872840139,0.016805301800995827,0.99125569460397944,2.1523456089023781e-06,2.4081285342305734e-13,-2.1523453680895246e-06,true,true
holdout_reversal_1,reversal,pv_local_poly,true,1.9213059526158618,0.01202055380808062,0.99374355042635731,2.5125288988732356e-06,2.8773021311016222e-13,-2.5125286111430226e-06,true,true
holdout_reversal_2,reversal,pv_local_poly,true,1.9530334335710129,0.014653127661337733,0.9924972468932366,2.4665939239431148e-06,2.7166116472803303e-13,-2.4665936522819498e-06,true,true
holdout_reversal_3,reversal,pv_local_poly,true,1.9206805908250784,0.025511087511318087,0.98671768349553679,2.249209937953092e-06,2.3185600800602341e-13,-2.2492097060970838e-06,true,true
