source_id,source_experiment_id,source_run_id,factor_grid,factor_stencil,input_id,method_id,target_components,case_id,max_velocity_rad_s,max_acceleration_rad_s2,max_jerk_rad_s3,is_vendor_setting,completed,valid_cycles,total_cycles,position_rmse_rad,vendor_position_rmse_rad,rmse_ratio_vs_own_vendor,lag_s,lag_ms,projection_count,projection_rate,first_projection_cycle_index,first_projection_measurement_time_s,first_projection_command_time_s,position_projection_max_abs_rad,velocity_projection_rmse_rad_s,velocity_projection_max_abs_rad_s,acceleration_projection_rmse_rad_s2,acceleration_projection_max_abs_rad_s2,velocity_clip_count,acceleration_clip_count,stopping_envelope_count,executable_target_inadmissible_count,projection_reconstruction_mismatch_count,output_velocity_violation_count,output_acceleration_violation_count,output_jerk_violation_count,profile_velocity_violation_count,profile_acceleration_violation_count,profile_jerk_violation_count,profile_constraint_violation_count,fallback_rate,solver_failure_count,deadline_miss_rate,eligible,absolute_lag_ms,eligible_lag_budget_10ms,eligible_lag_budget_20ms,rmse_lag_pareto_within_components,rmse_lag_pareto_joint
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j41,0.5,3,41,false,true,7672,7672,0.026553636817145791,,,0.1899999999999995,189.99999999999949,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00013034410844629823,true,189.9999999999995,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j100,0.5,3,100,false,true,7672,7672,0.017369831926556098,,,0.12000000000000011,120.00000000000011,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00013034410844629823,true,120.00000000000011,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j200,0.5,3,200,false,true,7672,7672,0.014698311259583562,,,0.089999999999999858,89.999999999999858,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00013034410844629823,true,89.99999999999986,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j400,0.5,3,400,false,true,7672,7672,0.013521592826561747,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0,true,79.9999999999983,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j800,0.5,3,800,false,true,7672,7672,0.015508813893760348,,,0.089999999999999858,89.999999999999858,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0,true,89.99999999999986,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j1200,0.5,3,1200,false,true,7672,7672,0.012902250826389829,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0,true,79.9999999999983,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j1600,0.5,3,1600,false,true,7672,7672,0.013584300203360451,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00078206465067778938,true,79.9999999999983,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j2400,0.5,3,2400,false,true,7672,7672,0.013045547271830868,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00026068821689259646,true,79.9999999999983,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j3200,0.5,3,3200,false,true,7672,7672,0.013054797164603062,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00026068821689259646,true,79.9999999999983,False,False,False,False
e14_fine_vaj,E14,aggregate,fine_vaj,pred_backward_o1_kp1,recorded_tasks_simplified_with_velocity_limit,pv_pred_backward_o1_kp1,PV,pv_pred_backward_o1_kp1__v0p5_a3_j4000,0.5,3,4000,false,true,7672,7672,0.013334799195220078,,,0.079999999999998295,79.999999999998295,95,0.012382690302398332,310,3.1000000000000001,3.1099999999999999,0,0.044918617266552309,2.0987606716040443,0,0,95,0,0,0,0,0,0,,0,0,0,0,0,0,0.00052137643378519292,true,79.9999999999983,False,False,False,False
