method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
deployed_p_only,position_rmse,120,10000,20270721,0.95,0.08383294073421214,0.06109262562996808,0.10873972452462974,0.024013567170844574,0.012678175427159497,0.026121228293745597,0.003600819952750956,0.12597937874824502,0.12237855879549407
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_rmse,120,10000,20270722,0.95,0.08383294073421214,0.06099454509031871,0.10856762275149669,0.024013567170844574,0.012678175427159497,0.026121228293745597,0.003600819952750956,0.12597937874824502,0.12237855879549407
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_rmse,120,10000,20270723,0.95,0.07019924339666604,0.03821793084339049,0.10879582310312273,0.013404255944606668,0.009294707526222542,0.0171172016611764,0.005057357343411847,0.024233390473167166,0.01917603312975532
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_rmse,120,10000,20270724,0.95,0.04571560683120991,0.022097467209804097,0.07857274996024848,0.013058878815715325,0.00890311487116511,0.016978399679194234,0.005034451458233684,0.02416442652644401,0.019129975068210327
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_rmse,120,10000,20270725,0.95,0.03714117192552617,0.020364094146255403,0.06064229296395852,0.013066872273170261,0.008302674595013125,0.016017235909137086,0.004771880575993374,0.024229374697718215,0.01945749412172484
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_rmse,120,10000,20270726,0.95,0.04603662699592421,0.022515364626611672,0.07816303606421218,0.013189515022685649,0.008664088328056133,0.017030839531173854,0.004771880576062311,0.024318417235168224,0.019546536659105912
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_rmse,120,10000,20270727,0.95,0.0838326246523209,0.06139250579443572,0.1087616841872089,0.024013413271342973,0.012676413576936399,0.026121173804946503,0.0036006893560724625,0.12597937602187312,0.12237868666580065
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_rmse,120,10000,20270728,0.95,0.029171035485478555,0.014797672639317734,0.048235963695694446,0.0057164581029861255,0.00456611239890085,0.013070981605530121,0.0015689634728739891,0.021659432810476918,0.020090469337602928
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_rmse,120,10000,20270729,0.95,0.020509856036473404,0.010508044577653732,0.03562369204568889,0.004789505886518856,0.00407186138649626,0.006608038220112205,0.001568928614835386,0.01796215774055155,0.016393229125716165
estimator_rank_3::ca_kf_s1e-06_q1000::deployed_p_only,position_rmse,120,10000,20270730,0.95,0.08383294073421214,0.06133268810900571,0.1084797886668526,0.024013567170844574,0.012741865271841948,0.026121228293745597,0.003600819952750956,0.12597937874824502,0.12237855879549407
estimator_rank_3::ca_kf_s1e-06_q1000::jerk_qp_pva_direct,position_rmse,120,10000,20270731,0.95,0.03605435196017841,0.01981366156980433,0.058909919820342396,0.0125027974281486,0.00869245143972836,0.014879198257684504,0.00644229921419457,0.02275616210570324,0.01631386289150867
estimator_rank_3::ca_kf_s1e-06_q1000::jerk_qp_pva_ruckig,position_rmse,120,10000,20270732,0.95,0.042342857458554706,0.020383079936216023,0.07325202580706652,0.012502797428209375,0.008692451421547903,0.014879198189452346,0.006442299217993962,0.022756162062475428,0.016313862844481466
estimator_rank_3::ca_kf_s1e-06_q1000::one_step_governed_pva_direct,position_rmse,120,10000,20270733,0.95,0.03584651090888454,0.019675212081808707,0.059262861552697346,0.012592656704704457,0.00869245143972836,0.015022648444735396,0.0064148249315705615,0.022718815840418474,0.01630399090884791
estimator_rank_3::ca_kf_s1e-06_q1000::one_step_governed_pva_ruckig,position_rmse,120,10000,20270734,0.95,0.043728632115127154,0.020387505471694396,0.07614345707322369,0.012592656704838234,0.008692451421547903,0.014903213455734468,0.006414825224653378,0.022718815797194133,0.016303990572540755
estimator_rank_3::ca_kf_s1e-06_q1000::predicted_p,position_rmse,120,10000,20270735,0.95,0.08383294069392576,0.061300277700931695,0.10853283339594841,0.024013567022596945,0.012678174933663125,0.026121228193756663,0.0036008198072898317,0.12597937871982043,0.12237855891253059
estimator_rank_3::ca_kf_s1e-06_q1000::raw_predicted_pv,position_rmse,120,10000,20270736,0.95,0.0279851042013322,0.0134024019082443,0.04652894843391378,0.004789506180387744,0.00403470801100646,0.006598646977394429,0.001574565194924842,0.017963169565096006,0.016388604370171162
estimator_rank_3::ca_kf_s1e-06_q1000::scalar_projected_pva,position_rmse,120,10000,20270737,0.95,0.01764300066710685,0.007994401915196566,0.032610211737909865,0.00466304255889014,0.0036734757950946805,0.0052150062410137735,0.0015722004345033996,0.013079019097708585,0.011506818663205185
jerk_qp_pva_direct,position_rmse,120,10000,20270738,0.95,0.05309669735186543,0.02784769779101464,0.08598875727442601,0.012677491163073741,0.00883980178721678,0.017035549980155516,0.0050700109248995135,0.024114690124857348,0.019044679199957833
jerk_qp_pva_ruckig,position_rmse,120,10000,20270739,0.95,0.045051914594944946,0.02132749994113769,0.0786475522157169,0.012800837949473794,0.009246627431694581,0.017089804609447642,0.005113735144441337,0.024155787197841123,0.01904205205339979
one_step_governed_pva_direct,position_rmse,120,10000,20270740,0.95,0.03697909043834904,0.02009433101819739,0.06072781447562771,0.013068914768045704,0.00851589620992937,0.01671113542081978,0.004803853140310991,0.02394038652338347,0.019136533383072477
one_step_governed_pva_ruckig,position_rmse,120,10000,20270741,0.95,0.04503138970714076,0.02149684477150747,0.07743571837045365,0.013074226770580911,0.008817830504246714,0.017035550187628007,0.004860719171162416,0.0242391357491311,0.019378416577968682
predicted_p,position_rmse,120,10000,20270742,0.95,0.08383291798533295,0.061135037003660575,0.10860006087525312,0.024013557727977405,0.012678023726422074,0.026121225032517202,0.003600812175334317,0.1259793785280222,0.1223785663526879
raw_predicted_pv,position_rmse,120,10000,20270743,0.95,0.028199732288459976,0.01388481721244938,0.04742949972562798,0.004950881526071505,0.004505767688239074,0.010458708721686184,0.001569064766169994,0.017972127504206358,0.016403062738036364
scalar_projected_pva,position_rmse,120,10000,20270744,0.95,0.018188230164892454,0.00844580820275957,0.03361222798878131,0.004694516988581924,0.003986243149874684,0.005456670712533821,0.0015690333373378892,0.013081333086857525,0.011512299749519636
deployed_p_only,position_mae,120,10000,20271721,0.95,0.06260593278009112,0.04505580317943428,0.08217191787756588,0.015145167950818774,0.010143883286846843,0.018061040707219804,0.0026322457607077525,0.08077492174770741,0.07814267598699966
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_mae,120,10000,20271722,0.95,0.06260593278009112,0.04497892249531063,0.08207036745098838,0.015145167950818774,0.010143883286846843,0.01816237323690005,0.0026322457607077525,0.08077492174770741,0.07814267598699966
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_mae,120,10000,20271723,0.95,0.05800732080538239,0.03173053519616381,0.08932887337129174,0.01087851087830503,0.008394676800374319,0.014163933057060879,0.003937398049879751,0.02045803812909135,0.0165206400792116
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_mae,120,10000,20271724,0.95,0.037933053533499586,0.018983383151207796,0.0636065064198147,0.010865721960800694,0.0077721740200049245,0.013921217091685706,0.0038906704238324662,0.020458038151733755,0.016567367727901287
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_mae,120,10000,20271725,0.95,0.03202638889828504,0.017889508992903785,0.051913573969975806,0.010905272059660312,0.007524694862825434,0.012767135824111098,0.0038256437891794662,0.020344729313347874,0.01651908552416841
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_mae,120,10000,20271726,0.95,0.03838649251002388,0.019395350933599925,0.06453778687583497,0.010980496701803302,0.007861886375508146,0.014093501331061539,0.003825643792484848,0.020422864226988684,0.016597220434503835
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_mae,120,10000,20271727,0.95,0.06260602934236072,0.044913923288136114,0.08208086575289686,0.015145138352050457,0.010130863442310808,0.01816234624777305,0.0026323489327314126,0.08077491426349273,0.07814256533076132
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_mae,120,10000,20271728,0.95,0.019085096881027715,0.009313858416626367,0.032569556738343754,0.004588144807291472,0.0034176304270818105,0.009670049354996416,0.0012675851795935092,0.013765393484142689,0.01249780830454918
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_mae,120,10000,20271729,0.95,0.014094180551846181,0.007189333298529919,0.026044604148581337,0.003555281826693754,0.003026377700453143,0.004703546986667373,0.0012675064281014756,0.012859914732872783,0.011592408304771307
