comparison_id,secondary,metric,baseline_method,candidate_method,direction,relative_definition,improvement_direction,n_trajectories,n_expected_trajectories,n_excluded_trajectories,resamples,seed,confidence_level,baseline_mean,baseline_median,baseline_q25,baseline_q75,candidate_mean,candidate_median,candidate_q25,candidate_q75,absolute_difference,absolute_ci_low,absolute_ci_high,relative_difference,relative_ci_low,relative_ci_high,improvement,improvement_ci_low,improvement_ci_high,relative_improvement,relative_improvement_ci_low,relative_improvement_ci_high,effect_size_name,effect_size,effect_size_ci_low,effect_size_ci_high,effect_size_defined,unadjusted_p_value,holm_adjusted_p_value,reject_holm
primary_position:one_step_pva-vs-predicted_p,False,position_rmse,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260721,0.95,0.08383291798533295,0.024013557727977405,0.003600812175334317,0.1259793785280222,0.03697909043834904,0.013068914768045704,0.004803853140310991,0.02394038652338347,-0.0468538275469839,-0.07481005645094574,-0.020040308508902427,-0.5588953441317794,-0.7594820467785718,-0.27523699078336755,0.0468538275469839,0.020040308508902427,0.07481005645094574,0.5588953441317794,0.27523699078336755,0.7594820467785718,paired_cohen_dz_candidate_minus_baseline,-0.3048933205351441,-0.4859053511226268,-0.12870648285318004,True,0.000999900009999,0.000999900009999,True
max_error:one_step_pva-vs-predicted_p,True,position_max_abs_error,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260722,0.95,0.16090709311299378,0.04784880156269328,0.007653694558226335,0.2419827377366499,0.06520513851410432,0.020648624169827046,0.010906145991955777,0.03759181031526293,-0.09570195459888943,-0.14810587834420594,-0.04257473158781961,-0.5947652943533362,-0.7969698926089075,-0.2957533036819807,0.09570195459888943,0.04257473158781961,0.14810587834420594,0.5947652943533362,0.2957533036819807,0.7969698926089075,paired_cohen_dz_candidate_minus_baseline,-0.3266883105552565,-0.5500161256046529,-0.13141364122582344,True,0.0004999500049995,0.0034996500349965005,True
lag:one_step_pva-vs-predicted_p,True,lag_s,predicted_p,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260723,0.95,0.09491666666666668,0.050000000000000044,0.020000000000000018,0.13,0.09524999999999999,0.010000000000000009,0.010000000000000009,0.030000000000000027,0.00033333333333333733,-0.06850208333333332,0.07541874999999996,0.0035118525021949495,-0.5618454061496787,1.3579489030700382,-0.00033333333333333733,-0.07541874999999996,0.06850208333333332,-0.0035118525021949495,-1.3579489030700382,0.5618454061496787,paired_cohen_dz_candidate_minus_baseline,0.000833600735561509,-0.2001332299760087,0.16999355688276632,True,0.9933006699330067,0.9987001299870013,False
position:one_step_pva-vs-deployed_p_only,True,position_rmse,deployed_p_only,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260724,0.95,0.08383294073421214,0.024013567170844574,0.003600819952750956,0.12597937874824502,0.03697909043834904,0.013068914768045704,0.004803853140310991,0.02394038652338347,-0.046853850295863086,-0.073970693940345,-0.019852047932910215,-0.5588954638297935,-0.7601217189327932,-0.2701146488238302,0.046853850295863086,0.019852047932910215,0.073970693940345,0.5588954638297935,0.2701146488238302,0.7601217189327932,paired_cohen_dz_candidate_minus_baseline,-0.30489348786830156,-0.4886140771960272,-0.12667832654514294,True,0.000999900009999,0.0059994000599940004,True
position:one_step_pva-vs-raw_predicted_pv,True,position_rmse,raw_predicted_pv,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260725,0.95,0.028199732288459976,0.004950881526071505,0.001569064766169994,0.017972127504206358,0.03697909043834904,0.013068914768045704,0.004803853140310991,0.02394038652338347,0.008779358149889062,-0.005550800372596929,0.02153559073694942,0.3113277126209383,-0.1725818963470271,0.9465099729761954,-0.008779358149889062,-0.02153559073694942,0.005550800372596929,-0.3113277126209383,-0.9465099729761954,0.1725818963470271,paired_cohen_dz_candidate_minus_baseline,0.1143277118186561,-0.058558674435266855,0.3941946229691348,True,0.20287971202879712,0.6174382561743825,False
position:one_step_direct-vs-one_step_ruckig,True,position_rmse,one_step_governed_pva_ruckig,one_step_governed_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260726,0.95,0.04503138970714076,0.013074226770580911,0.004860719171162416,0.0242391357491311,0.03697909043834904,0.013068914768045704,0.004803853140310991,0.02394038652338347,-0.008052299268791726,-0.02060516929419939,0.00023396162715530588,-0.17881525134266174,-0.33121866529359295,0.009797032930769606,0.008052299268791726,-0.00023396162715530588,0.02060516929419939,0.17881525134266174,-0.009797032930769606,0.33121866529359295,paired_cohen_dz_candidate_minus_baseline,-0.13225817403105256,-0.21267424286171496,0.03532891203076046,True,0.12348765123487651,0.6174382561743825,False
position:jerk_qp_direct-vs-one_step_direct,True,position_rmse,one_step_governed_pva_direct,jerk_qp_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260727,0.95,0.03697909043834904,0.013068914768045704,0.004803853140310991,0.02394038652338347,0.05309669735186543,0.012677491163073741,0.0050700109248995135,0.024114690124857348,0.016117606913516408,-7.153636512614269e-05,0.039846083728091626,0.4358573107791126,-0.002012906233487117,1.3251745802408328,-0.016117606913516408,-0.039846083728091626,7.153636512614269e-05,-0.4358573107791126,-1.3251745802408328,0.002012906233487117,paired_cohen_dz_candidate_minus_baseline,0.13824679746920648,-0.051012242514773286,0.2183218518287772,True,0.1250874912508749,0.6174382561743825,False
position:jerk_qp_direct-vs-jerk_qp_ruckig,True,position_rmse,jerk_qp_pva_ruckig,jerk_qp_pva_direct,candidate_minus_baseline,mean(candidate-baseline)/abs(mean(baseline)),baseline_minus_candidate_lower_is_better,120,120,0,10000,20260728,0.95,0.045051914594944946,0.012800837949473794,0.005113735144441337,0.024155787197841123,0.05309669735186543,0.012677491163073741,0.0050700109248995135,0.024114690124857348,0.008044782756920499,-0.013352517151041887,0.033315764439957415,0.17856694502886153,-0.2251200489399457,1.0298024497802747,-0.008044782756920499,-0.033315764439957415,0.013352517151041887,-0.17856694502886153,-1.0298024497802747,0.2251200489399457,paired_cohen_dz_candidate_minus_baseline,0.06119199743747519,-0.15987305387389789,0.18538638059554882,True,0.49935006499350065,0.9987001299870013,False
