dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us,estimator_family,duration_mode,prediction_position_rmse,prediction_position_mae,prediction_position_max_error
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.09655440850536143,0.05674316592061491,0.36469511623223194,130.0,0.0804699170641319,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,264.5117068888811,737.6480723989956,1406.4444107893573,1531.7661024957533,0.04237726098191214,2.058798618813995,8.2,41.000000000000014,11.958,76.9489399999995,2.430439999999988,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,full,0.09932512678702571,0.058758950901928314,0.3620487477431443,130.0,0.08432212081372727,0.04871194379391101,2.1693077168373254,8.199999918,263.9735701124864,265.24744894802075,736.8649272112509,1412.6897603982018,1567.6919593611283,0.04289405684754522,2.0587947650792837,8.2,41.000000000000014,12.041,31.318559999999977,2.110719999999994,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,position_only,0.06237800448291135,0.035879849608492595,0.30750860726762586,140.0,0.028162197893294133,0.0,0.0,0.0,0.0,231.57870379920536,412.0409635029841,593.8382833088359,625.0294358560656,0.02945736434108527,1.540559337001078,7.611073924335396,41.000000000000014,11.875,15.789999999999964,1.25,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,position_only,0.062378519319102495,0.03588356458150311,0.3075086072676254,140.0,0.028160772694121674,0.0,0.0,0.0,0.0,232.01066616518267,412.0409635029835,593.8382833088369,625.0294358560664,0.029974160206718347,1.5405593370010784,7.611073924335395,41.000000000000014,11.875,15.027059999999993,1.417,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,full,0.14284483417412233,0.07624788842492254,0.6646816831994985,200.0,0.12018367516676313,0.04871194379391101,2.234002182344122,8.199999918,263.9735701124864,287.33381453880907,699.383040561529,1328.994171252407,1483.4129305466438,0.04289405684754522,2.0722953153228407,8.2,41.000000000000014,11.875,15.069059999999993,1.333,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,full,0.14374829415506624,0.0770362448920046,0.664931371825382,220.0,0.11812858284289166,0.04871194379391101,2.234002182344122,8.199999918,263.9735701124864,288.59641097833475,697.1853782114754,1329.2895432299392,1483.4127610372852,0.04806201550387597,2.072295325918884,8.2,41.000000000000014,11.959,17.456999999999965,1.985719999999994,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,position_only,0.061498192620574536,0.035170397603883595,0.3020886281472724,130.0,0.029808713128763858,0.0,0.0,0.0,0.0,244.33372276208587,428.28685716653183,621.783498294671,651.6319588065134,0.03204134366925065,1.570749699239326,7.760711238322401,41.000000000000014,11.917,20.63843999999999,1.375,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,position_only,0.061499424451839924,0.03517994365851186,0.3020886281472724,130.0,0.02980710983773011,0.0,0.0,0.0,0.0,244.42190306860525,428.2868571665632,621.7834982946612,651.6319588065045,0.03307493540051679,1.5707496992393262,7.76071123832244,41.000000000000014,11.875,14.792,1.4440599999999941,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,100.0,full,0.13271942372226878,0.07239867687187237,0.5949164998853756,200.0,0.1058755352361973,0.04871194379391101,2.562002179064122,8.199999918,263.9735701124864,341.22908158344717,738.5561753658244,1265.5652948162099,1485.6311771249684,0.06614987080103359,2.2005034326256365,8.2,41.000000000000014,11.958,15.458,1.667,CA-KF,matched,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,10.0,full,0.1269621941837757,0.0716101623706172,0.5393657989060876,70.0,0.12283848097888234,0.04871194379391101,2.562002179064122,8.199999918,263.9735701124864,334.70925668486655,844.4663246085074,1450.806928584662,1567.0759451153779,0.08320413436692506,2.2038677642375797,8.2,41.000000000000014,12.0,15.334,2.04166,CA-KF,control_cycle,0.03282852791685063,0.019872635389391307,0.18367762584038586
