dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us,estimator_family,duration_mode,prediction_position_rmse,prediction_position_mae,prediction_position_max_error
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,full,0.019498598074023266,0.008124533649553907,0.14497727641134048,10.0,0.01902784693781075,0.003278688524590164,2.307789583993759,15.99999984,276.2647534634291,50.0,89.04498747757944,278.3425941054912,423.23139966934775,0.8330749354005168,2.5094337837907186,16.0,3200.0,11.875,14.917,1.985719999999994,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,full,0.035230729960644996,0.017901187724951848,0.21198289281436616,0.0,0.035230729960644996,0.003278688524590164,2.307789583993759,15.99999984,276.2647534634291,27.16292773378541,143.0230093562479,332.00973984316886,488.2511093288849,0.7069767441860465,2.338838049734968,16.0,3200.0,11.875,14.179779999999989,2.0,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,50.0,position_only,0.017753333008155084,0.008288148930534287,0.12663473548872603,10.0,0.017434163210266123,0.0,0.0,0.0,0.0,50.0,105.56433161641577,182.67687372642672,212.33414024253943,0.6883720930232559,2.241289865605888,16.0,3200.0,11.791,14.610719999999993,1.833,CA-KF,matched,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (50 ms lookahead),0.0,50.0,10.0,position_only,0.01803960958610808,0.009455700498760895,0.12360845792595743,10.0,0.017877806267787275,0.0,0.0,0.0,0.0,28.7409572857186,106.31441682882988,180.31071646985149,209.96798298596428,0.7012919896640827,2.2440947503577116,16.000000000000004,3200.0,11.875,15.083,1.8610599999999942,CA-KF,control_cycle,0.012203423431436546,0.007420605749200771,0.07515288826022151
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,full,0.02119219724576962,0.008593175083461925,0.16583596544711346,10.0,0.020669536704705303,0.003278688524590164,2.420421890768014,15.99999984,276.2647534634291,60.0,75.35536174620194,251.31605993591887,360.2165273829869,0.868733850129199,2.4916088224132187,16.0,3200.0,11.958,15.25,1.792,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,full,0.041249943494478775,0.021600156266471715,0.2400000007460123,-10.0,0.04106907025327636,0.003278688524590164,2.420421890768014,15.99999984,276.2647534634291,29.67665737073768,159.9638683138412,352.9164454085021,535.413867712785,0.7136950904392765,2.376277728329242,16.000000000000004,3200.0,11.875,16.542,1.902059999999994,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,60.0,position_only,0.02225144866732329,0.01083964525898546,0.13898397805807075,0.0,0.02225144866732329,0.0,0.0,0.0,0.0,60.0,117.18351058054773,205.71718928960846,231.13423460966357,0.6935400516795865,2.3097636580814074,16.0,3200.0,11.916,16.111059999999995,1.6940599999999941,CA-KF,matched,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (60 ms lookahead),0.0,60.0,10.0,position_only,0.022669065058516395,0.012599097236958793,0.13859679864126953,0.0,0.022669065058516395,0.0,0.0,0.0,0.0,31.889493990348303,116.2614393456276,205.12133212822803,230.83837331199206,0.7059431524547803,2.306277955076781,16.0,3200.0,11.875,15.111059999999993,1.791,CA-KF,control_cycle,0.01549987519932639,0.00943060904992995,0.0946055639788845
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,100.0,full,0.024057971041242507,0.01083122821772682,0.1751501403852607,10.0,0.02382008453075031,0.003278688524590164,2.9213880475359075,15.99999984,276.2647534634291,100.0,100.0,220.20432726292665,312.46407943043164,0.9188630490956072,2.4287222025577155,16.000000000000004,3200.0,12.042,16.833,2.0277199999999937,CA-KF,matched,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,10.0,full,0.06775942349438395,0.037186178115633406,0.3634366090102584,-30.0,0.06622835984997243,0.003278688524590164,2.9213880475359075,15.99999984,276.2647534634291,50.65455020131706,197.65887739509628,424.8941699642957,637.7646153007844,0.7400516795865633,3.0053435132666735,16.0,3200.0,11.875,15.75,1.902719999999994,CA-KF,control_cycle,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,100.0,position_only,0.03981254209230462,0.020306467899857447,0.2377287316160203,-20.0,0.03919629364025301,0.0,0.0,0.0,0.0,100.0,158.61006745144243,286.1610223197775,344.08550580651917,0.7643410852713178,2.420118395069963,16.0,3200.0,11.875,15.485719999999993,1.7086599999999998,CA-KF,matched,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (100 ms lookahead),0.0,100.0,10.0,position_only,0.041716377271613835,0.026199201747255253,0.23818026936842054,-20.0,0.04015663419869438,0.0,0.0,0.0,0.0,52.26555000799408,161.18977198294584,274.0911142103994,344.5662279499859,0.737984496124031,2.3965264795869934,16.0,3200.0,11.833,16.833,1.777719999999994,CA-KF,control_cycle,0.03282852791685063,0.019872635389391307,0.18367762584038586
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,150.0,full,0.02777754092023356,0.014703889328789427,0.16306124601505367,0.0,0.02777754092023356,0.003278688524590164,3.721388039535907,15.99999984,276.2647534634291,150.0,150.0,241.70874205202358,266.84918156905513,0.9472868217054263,2.339012978692693,16.000000000000004,3200.0,11.875,16.694059999999993,1.75,CA-KF,matched,0.0639266592836751,0.03864022779464583,0.3272585887527727
csv,Robust CA-KF (150 ms lookahead),0.0,150.0,10.0,full,0.10857650746128472,0.062156353478248,0.5070600559677177,-60.0,0.10416110846218714,0.003278688524590164,3.721388039535907,15.99999984,276.2647534634291,79.44795932573241,256.55947337312597,477.3027811607134,718.7367672382609,0.7565891472868217,3.5622573099423622,16.000000000000004,3200.0,11.834,16.542,1.8610599999999942,CA-KF,control_cycle,0.0639266592836751,0.03864022779464583,0.3272585887527727
